task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
6	d2/cfa0e4	3820620	pipeline:getParams	COMPLETED	0	2025-08-06 12:56:46.623	890ms	16ms	13.1%	0	0	88.2 KB	2.8 KB
4	1e/e26b84	3820610	pipeline:preprocess:call_paftools	COMPLETED	0	2025-08-06 12:56:46.609	4.4s	3.4s	92.6%	51.9 MB	690.9 MB	273.3 MB	36.8 MB
7	7d/d20cd7	3820603	pipeline:getVersions	COMPLETED	0	2025-08-06 12:56:46.591	8.2s	7.5s	91.3%	159.2 MB	2 GB	40.3 MB	3.1 KB
2	47/654a50	3821245	pipeline:assign_features_with_stringtie:split_gtf_by_chroms	COMPLETED	0	2025-08-06 12:56:47.549	7.3s	6s	72.9%	14.2 MB	19.9 MB	546.4 MB	546.3 MB
3	8c/726f58	3820615	make_fasta_index	COMPLETED	0	2025-08-06 12:56:46.616	10.3s	9.5s	97.9%	6 MB	14.5 MB	3 GB	19.1 KB
5	38/043be9	3820605	pipeline:preprocess:build_minimap_index	COMPLETED	0	2025-08-06 12:56:46.599	2m 10s	2m 2s	79.6%	17.7 GB	20 GB	3 GB	7 GB
1	c5/68cdb9	3823177	fastcat (1)	COMPLETED	0	2025-08-06 12:56:56.933	2m 59s	2m 58s	249.0%	101.4 MB	620.4 MB	37.2 GB	30.6 GB
8	f7/fe3d87	3831193	parse_kit_metadata (1)	COMPLETED	0	2025-08-06 12:59:55.725	2.9s	2.3s	80.4%	81.8 MB	1.9 GB	11.9 MB	542 B
11	75/224b37	3831425	pipeline:preprocess:call_adapter_scan (3)	COMPLETED	0	2025-08-06 12:59:58.726	2m 14s	2m 13s	309.6%	10.1 GB	17 GB	10.4 GB	1.7 GB
9	40/61742e	3847717	pipeline:preprocess:call_adapter_scan (1)	COMPLETED	0	2025-08-06 13:02:12.576	2m 17s	2m 16s	288.6%	10.5 GB	18.5 GB	10.4 GB	1.6 GB
10	e6/6da19d	3863632	pipeline:preprocess:call_adapter_scan (2)	COMPLETED	0	2025-08-06 13:04:29.625	2m 25s	2m 24s	274.8%	10.5 GB	17.8 GB	10.5 GB	1.7 GB
12	2e/88147b	3881888	pipeline:preprocess:call_adapter_scan (4)	COMPLETED	0	2025-08-06 13:06:54.418	2m 19s	2m 18s	279.2%	10.6 GB	18.5 GB	10.4 GB	1.6 GB
14	fd/76ee25	3898162	pipeline:preprocess:call_adapter_scan (6)	COMPLETED	0	2025-08-06 13:09:12.998	2m 37s	2m 34s	217.2%	10.5 GB	18.4 GB	10 GB	1.5 GB
13	f0/10e89c	3912949	pipeline:preprocess:call_adapter_scan (5)	COMPLETED	0	2025-08-06 13:11:50.200	2m 16s	2m 11s	290.8%	10.5 GB	18.5 GB	10.5 GB	1.7 GB
16	b1/39543d	3928778	pipeline:preprocess:merge_bams (1)	COMPLETED	0	2025-08-06 13:14:06.142	4.7s	2.1s	147.9%	20.4 MB	29 MB	115 MB	110.6 MB
17	e6/e8a7e1	3929209	pipeline:assign_features_with_stringtie:stringtie (1)	COMPLETED	0	2025-08-06 13:14:10.920	3.1s	2.4s	30.0%	61.2 MB	914.5 MB	328 MB	107.5 MB
28	b3/9366ed	3929718	pipeline:assign_features_with_stringtie:stringtie (12)	COMPLETED	0	2025-08-06 13:14:14.030	582ms	126ms	23.7%	2.7 MB	3.8 MB	2.1 MB	59.4 KB
26	48/98dbac	3929931	pipeline:assign_features_with_stringtie:stringtie (10)	COMPLETED	0	2025-08-06 13:14:14.618	559ms	115ms	25.4%	2.7 MB	3.8 MB	2 MB	58.1 KB
21	3c/4dfa09	3930176	pipeline:assign_features_with_stringtie:stringtie (5)	COMPLETED	0	2025-08-06 13:14:15.339	598ms	172ms	14.1%	5.8 MB	230 MB	2.3 MB	162.5 KB
15	37/2dcd0a	3928781	pipeline:correct_10x_barcodes:generate_whitelist (1)	COMPLETED	0	2025-08-06 13:14:06.150	10.7s	9.4s	22.2%	110.7 MB	1.9 GB	12.8 MB	1.3 MB
25	e0/74592c	3930407	pipeline:assign_features_with_stringtie:stringtie (9)	COMPLETED	0	2025-08-06 13:14:15.945	1.3s	906ms	47.6%	24.8 MB	73.9 MB	185.6 MB	67 MB
18	a8/51a671	3930796	pipeline:assign_features_with_stringtie:stringtie (2)	COMPLETED	0	2025-08-06 13:14:17.274	1.8s	1.3s	21.7%	109.5 MB	879.8 MB	156.2 MB	30.8 MB
27	ae/ae15e5	3931893	pipeline:assign_features_with_stringtie:stringtie (11)	COMPLETED	0	2025-08-06 13:14:19.123	997ms	142ms	15.8%	2.7 MB	3.8 MB	2 MB	58.1 KB
20	8b/9a4ce5	3932220	pipeline:assign_features_with_stringtie:stringtie (4)	COMPLETED	0	2025-08-06 13:14:20.125	808ms	133ms	17.0%	2.7 MB	3.8 MB	2 MB	58.1 KB
391	d0/97d7a2	3930800	pipeline:correct_10x_barcodes:assign_barcodes (4)	COMPLETED	0	2025-08-06 13:14:17.283	4.4s	3.9s	70.9%	140.4 MB	1.9 GB	15.3 MB	2.7 MB
388	4d/a76952	3930803	pipeline:correct_10x_barcodes:assign_barcodes (1)	COMPLETED	0	2025-08-06 13:14:17.287	4.4s	3.9s	71.9%	141.8 MB	1.9 GB	15.4 MB	2.8 MB
392	41/61ed8a	3930797	pipeline:correct_10x_barcodes:assign_barcodes (5)	COMPLETED	0	2025-08-06 13:14:17.279	4.4s	3.9s	73.5%	140.9 MB	1.9 GB	14.9 MB	2.5 MB
390	71/1052ee	3930805	pipeline:correct_10x_barcodes:assign_barcodes (3)	COMPLETED	0	2025-08-06 13:14:17.291	4.4s	3.9s	76.7%	141.2 MB	1.9 GB	15.3 MB	2.8 MB
30	39/c43966	3932672	pipeline:assign_features_with_stringtie:stringtie (14)	COMPLETED	0	2025-08-06 13:14:20.939	878ms	393ms	9.2%	7.4 MB	43.8 MB	2 MB	58.1 KB
23	d1/2431ef	3933216	pipeline:assign_features_with_stringtie:stringtie (7)	COMPLETED	0	2025-08-06 13:14:21.822	1.2s	140ms	11.8%	2.7 MB	3.8 MB	2 MB	58.2 KB
24	f3/ab14b2	3933759	pipeline:assign_features_with_stringtie:stringtie (8)	COMPLETED	0	2025-08-06 13:14:23.067	869ms	121ms	18.2%	2.7 MB	3.8 MB	2 MB	58.2 KB
22	8a/41d7ed	3934183	pipeline:assign_features_with_stringtie:stringtie (6)	COMPLETED	0	2025-08-06 13:14:23.942	951ms	282ms	9.4%	7.2 MB	19.7 MB	2 MB	58.2 KB
32	e2/fb6579	3934606	pipeline:assign_features_with_stringtie:stringtie (16)	COMPLETED	0	2025-08-06 13:14:24.915	651ms	126ms	23.9%	2.7 MB	3.8 MB	2.5 MB	192.1 KB
389	12/c10648	3933129	pipeline:correct_10x_barcodes:assign_barcodes (2)	COMPLETED	0	2025-08-06 13:14:21.709	3.9s	3.4s	95.3%	142.2 MB	1.9 GB	15.3 MB	2.7 MB
393	45/949c76	3933128	pipeline:correct_10x_barcodes:assign_barcodes (6)	COMPLETED	0	2025-08-06 13:14:21.703	4.1s	3.7s	82.0%	142.6 MB	1.9 GB	15.3 MB	2.7 MB
34	38/de1a86	3934885	pipeline:assign_features_with_stringtie:stringtie (18)	COMPLETED	0	2025-08-06 13:14:25.571	643ms	101ms	27.7%	2.7 MB	3.8 MB	2 MB	58.1 KB
29	9e/c66aa7	3935113	pipeline:assign_features_with_stringtie:stringtie (13)	COMPLETED	0	2025-08-06 13:14:26.219	566ms	114ms	19.5%	2.7 MB	3.8 MB	2 MB	58.1 KB
31	fe/b99698	3935434	pipeline:assign_features_with_stringtie:stringtie (15)	COMPLETED	0	2025-08-06 13:14:26.790	700ms	262ms	13.1%	4 MB	230 MB	2.1 MB	61.5 KB
33	92/ffd24c	3935644	pipeline:assign_features_with_stringtie:stringtie (17)	COMPLETED	0	2025-08-06 13:14:27.495	617ms	130ms	17.3%	2.7 MB	3.8 MB	2.4 MB	196.9 KB
404	91/e90c30	3935114	pipeline:correct_10x_barcodes:merge_and_publish_tsv (1)	COMPLETED	0	2025-08-06 13:14:26.224	2.1s	1.5s	2.0%	2.7 MB	3.8 MB	104.5 KB	1.4 KB
