task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	7a/39e948	3605148	pipeline:getParams	COMPLETED	0	2025-08-06 12:32:16.622	734ms	11ms	36.5%	0	0	88.2 KB	2.8 KB
4	34/f50414	3605115	fastcat (1)	COMPLETED	0	2025-08-06 12:32:16.546	1.7s	1s	112.7%	85.1 MB	179.9 MB	88.2 MB	72.7 MB
1	9f/188c66	3605137	pipeline:preprocess:call_paftools	COMPLETED	0	2025-08-06 12:32:16.606	4.3s	3.4s	95.5%	51.9 MB	690.7 MB	273.3 MB	36.8 MB
7	bc/b74dcf	3605147	pipeline:assign_features_with_stringtie:split_gtf_by_chroms	COMPLETED	0	2025-08-06 12:32:16.613	6.7s	6s	75.9%	14.2 MB	19.9 MB	546.4 MB	546.3 MB
8	13/9e79a0	3606917	parse_kit_metadata (1)	COMPLETED	0	2025-08-06 12:32:20.919	3.1s	2.4s	82.8%	85.5 MB	1.9 GB	11.9 MB	540 B
5	bf/4f915c	3605110	pipeline:getVersions	COMPLETED	0	2025-08-06 12:32:16.531	8.5s	7.8s	83.3%	156.3 MB	2 GB	40.3 MB	3.1 KB
3	95/3a36d5	3605132	make_fasta_index	COMPLETED	0	2025-08-06 12:32:16.590	9.9s	9.2s	94.1%	5.9 MB	10.6 MB	3 GB	19.1 KB
6	f8/35f8ac	3606133	pipeline:preprocess:build_minimap_index	COMPLETED	0	2025-08-06 12:32:18.300	1m 41s	1m 28s	112.6%	18.6 GB	20.8 GB	3 GB	7 GB
9	26/424777	3609181	pipeline:preprocess:call_adapter_scan (1)	COMPLETED	0	2025-08-06 12:33:59.590	13.8s	11.9s	195.6%	8.9 GB	15.6 GB	7.1 GB	20.6 MB
11	28/ce31f1	3612483	pipeline:preprocess:merge_bams (1)	COMPLETED	0	2025-08-06 12:34:13.446	2.7s	182ms	14.4%	10.5 MB	276.2 MB	265.2 KB	1.3 MB
10	9d/27a9c9	3612487	pipeline:correct_10x_barcodes:generate_whitelist (1)	COMPLETED	0	2025-08-06 12:34:13.458	4.7s	2.7s	74.8%	111.9 MB	1.9 GB	12 MB	11.3 KB
21	9d/6a5ae8	3612879	pipeline:assign_features_with_stringtie:stringtie (10)	COMPLETED	0	2025-08-06 12:34:16.243	4s	158ms	14.4%	2.7 MB	3.8 MB	1.4 MB	49.3 KB
19	02/c191e9	3613332	pipeline:assign_features_with_stringtie:stringtie (8)	COMPLETED	0	2025-08-06 12:34:20.210	2.7s	1.7s	1.7%	4 MB	37.2 MB	1.4 MB	49.4 KB
379	cb/61d333	3613265	pipeline:correct_10x_barcodes:assign_barcodes (1)	COMPLETED	0	2025-08-06 12:34:19.200	5.3s	2.5s	83.8%	115.1 MB	1.9 GB	12.1 MB	22.7 KB
383	98/cd2e15	3614007	pipeline:correct_10x_barcodes:merge_and_publish_tsv (1)	COMPLETED	0	2025-08-06 12:34:25.465	2.4s	157ms	16.4%	2.7 MB	3.8 MB	103.3 KB	743 B
13	e1/9a4491	3613798	pipeline:assign_features_with_stringtie:stringtie (2)	COMPLETED	0	2025-08-06 12:34:22.911	8.4s	3.3s	3.3%	7.4 MB	230 MB	131.7 MB	101.1 KB
17	93/be62db	3614338	pipeline:assign_features_with_stringtie:stringtie (6)	COMPLETED	0	2025-08-06 12:34:31.287	17.4s	16.5s	0.2%	4 MB	37.2 MB	1.4 MB	49.4 KB
