ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,RadialDistribution_FracAtD_Fluorescence_1of6,RadialDistribution_FracAtD_Fluorescence_2of6,RadialDistribution_FracAtD_Fluorescence_3of6,RadialDistribution_FracAtD_Fluorescence_4of6,RadialDistribution_FracAtD_Fluorescence_5of6,RadialDistribution_FracAtD_Fluorescence_6of6,RadialDistribution_MeanFrac_Fluorescence_1of6,RadialDistribution_MeanFrac_Fluorescence_2of6,RadialDistribution_MeanFrac_Fluorescence_3of6,RadialDistribution_MeanFrac_Fluorescence_4of6,RadialDistribution_MeanFrac_Fluorescence_5of6,RadialDistribution_MeanFrac_Fluorescence_6of6,RadialDistribution_RadialCV_Fluorescence_1of6,RadialDistribution_RadialCV_Fluorescence_2of6,RadialDistribution_RadialCV_Fluorescence_3of6,RadialDistribution_RadialCV_Fluorescence_4of6,RadialDistribution_RadialCV_Fluorescence_5of6,RadialDistribution_RadialCV_Fluorescence_6of6,RadialDistribution_ZernikeMagnitude_Fluorescence_0_0,RadialDistribution_ZernikeMagnitude_Fluorescence_1_1,RadialDistribution_ZernikeMagnitude_Fluorescence_2_0,RadialDistribution_ZernikeMagnitude_Fluorescence_2_2,RadialDistribution_ZernikeMagnitude_Fluorescence_3_1,RadialDistribution_ZernikeMagnitude_Fluorescence_3_3,RadialDistribution_ZernikeMagnitude_Fluorescence_4_0,RadialDistribution_ZernikeMagnitude_Fluorescence_4_2,RadialDistribution_ZernikeMagnitude_Fluorescence_4_4,RadialDistribution_ZernikeMagnitude_Fluorescence_5_1,RadialDistribution_ZernikeMagnitude_Fluorescence_5_3,RadialDistribution_ZernikeMagnitude_Fluorescence_5_5,RadialDistribution_ZernikeMagnitude_Fluorescence_6_0,RadialDistribution_ZernikeMagnitude_Fluorescence_6_2,RadialDistribution_ZernikeMagnitude_Fluorescence_6_4,RadialDistribution_ZernikeMagnitude_Fluorescence_6_6,RadialDistribution_ZernikeMagnitude_Fluorescence_7_1,RadialDistribution_ZernikeMagnitude_Fluorescence_7_3,RadialDistribution_ZernikeMagnitude_Fluorescence_7_5,RadialDistribution_ZernikeMagnitude_Fluorescence_7_7,RadialDistribution_ZernikeMagnitude_Fluorescence_8_0,RadialDistribution_ZernikeMagnitude_Fluorescence_8_2,RadialDistribution_ZernikeMagnitude_Fluorescence_8_4,RadialDistribution_ZernikeMagnitude_Fluorescence_8_6,RadialDistribution_ZernikeMagnitude_Fluorescence_8_8,RadialDistribution_ZernikeMagnitude_Fluorescence_9_1,RadialDistribution_ZernikeMagnitude_Fluorescence_9_3,RadialDistribution_ZernikeMagnitude_Fluorescence_9_5,RadialDistribution_ZernikeMagnitude_Fluorescence_9_7,RadialDistribution_ZernikeMagnitude_Fluorescence_9_9,RadialDistribution_ZernikePhase_Fluorescence_0_0,RadialDistribution_ZernikePhase_Fluorescence_1_1,RadialDistribution_ZernikePhase_Fluorescence_2_0,RadialDistribution_ZernikePhase_Fluorescence_2_2,RadialDistribution_ZernikePhase_Fluorescence_3_1,RadialDistribution_ZernikePhase_Fluorescence_3_3,RadialDistribution_ZernikePhase_Fluorescence_4_0,RadialDistribution_ZernikePhase_Fluorescence_4_2,RadialDistribution_ZernikePhase_Fluorescence_4_4,RadialDistribution_ZernikePhase_Fluorescence_5_1,RadialDistribution_ZernikePhase_Fluorescence_5_3,RadialDistribution_ZernikePhase_Fluorescence_5_5,RadialDistribution_ZernikePhase_Fluorescence_6_0,RadialDistribution_ZernikePhase_Fluorescence_6_2,RadialDistribution_ZernikePhase_Fluorescence_6_4,RadialDistribution_ZernikePhase_Fluorescence_6_6,RadialDistribution_ZernikePhase_Fluorescence_7_1,RadialDistribution_ZernikePhase_Fluorescence_7_3,RadialDistribution_ZernikePhase_Fluorescence_7_5,RadialDistribution_ZernikePhase_Fluorescence_7_7,RadialDistribution_ZernikePhase_Fluorescence_8_0,RadialDistribution_ZernikePhase_Fluorescence_8_2,RadialDistribution_ZernikePhase_Fluorescence_8_4,RadialDistribution_ZernikePhase_Fluorescence_8_6,RadialDistribution_ZernikePhase_Fluorescence_8_8,RadialDistribution_ZernikePhase_Fluorescence_9_1,RadialDistribution_ZernikePhase_Fluorescence_9_3,RadialDistribution_ZernikePhase_Fluorescence_9_5,RadialDistribution_ZernikePhase_Fluorescence_9_7,RadialDistribution_ZernikePhase_Fluorescence_9_9
1,1,AmilorideEF5Day13-11_ER_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-72_c4.jpg,AmilorideEF5Day13-11_ER_450ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-72_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1524.4358916589674,1131.2951622919286,0,1,0.011639247,0.04083351,0.072451375,0.116956435,0.2424409,0.5156785,1.0663770837852868,1.1232543559187578,1.0390913782286615,0.9765023907315835,1.0659213984923726,0.962466283974229,0.2257568855612196,0.1415481843053423,0.15183659544740494,0.16369557335178758,0.13688135625387834,0.09909033645755241,0.058703312125945706,0.004421068874006931,0.01521199603662431,0.004914461281016363,0.0018115640015955393,0.0017908648038955813,0.004762433926744326,0.001360915014863502,0.0012056803792702224,0.0013807143020623193,0.0009749038129080917,0.0011531899853815825,0.0002018690857366219,0.0014539842418348446,0.0018992438094148983,0.0012137407284517259,0.0005685814065684875,0.0006675780505227497,0.0014488280948328999,0.0006471576923266068,0.0009351471818279863,0.000579084360839472,0.0011932749216728312,0.001846220534963541,0.0008514470116481401,0.001191513962635919,0.0007069338487611336,0.0015677684390896802,0.001347271279197058,0.00016376250827268544,1.5707963267948966,-1.0205116308604376,-1.5707963267948966,-2.9365257029692686,1.0663935498702002,-0.40834833996754555,-1.5707963267948966,0.08653717985864302,0.43527506503855157,-2.788321378069825,2.213157274340454,1.3105451333546674,-1.5707963267948966,-0.03594612972175113,-2.2015408242616554,2.0290521062793907,2.815153964663807,2.4150799028820202,-2.2606001471714907,0.18812205915802152,1.5707963267948966,0.9963854751988702,1.1884339765062084,-1.7783619213239998,-1.2123257280453221,1.3690422565636382,-2.6825994987787096,-0.27102979764261015,3.0589519754101993,2.3754753726973177
4,1,Amiloride_EF5Day13-11_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-02_c4.jpg,Amiloride_EF5Day13-11_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-02_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1590.4621727984274,1020.6878192525132,0,1,0.036737546,0.13211784,0.17523164,0.21369109,0.17164274,0.27057922,2.851650053564505,3.0011627594588095,2.022930750540843,1.5470244305802043,0.8477381142315942,0.5245100535381806,0.16790392193631287,0.1781990971082987,0.5334733926825486,0.7825195430071006,0.8816072814991341,0.21264909872989576,0.011804968468481577,0.0008193706365480822,0.007464068591305966,0.0002690910065388634,0.0007401244990269141,5.245712617995885e-05,0.003716017359522798,0.0002753317888187649,0.00012061208284851147,0.00048657342934558715,6.476718917713267e-05,2.3197840343725824e-05,0.0021735117842139095,0.0003146919042745763,0.00016289467458344888,1.434300887503707e-05,0.0003546752048875124,7.2737908047158e-05,9.824509231566831e-06,3.268899988743728e-05,0.0011771893685300883,0.00041093418969194586,0.00019759223665217696,6.70658311206149e-06,2.6682127933834363e-05,0.00023549343647182055,3.798116545208458e-05,4.273476706177332e-05,4.578546724191291e-05,3.060139330007233e-05,1.5707963267948966,0.6113331854206928,-1.5707963267948966,-2.678216780507159,-2.172023625686937,0.25509576419028474,1.5707963267948966,0.6471141318963384,-0.40751138672858134,1.4846098901350873,2.5625104483100025,0.36742614466841506,-1.5707963267948966,-2.024210997708133,2.293110811876488,2.7983077164635666,-1.8784948744378318,-1.500206411083731,-1.2457898383877324,2.8554821213244783,1.5707963267948966,1.1185760398449582,-1.3358456002486119,2.0609995058524606,-0.7718243273587576,1.2232089621473878,2.3975995817050673,-2.9021821624403223,-0.09466277632945186,-1.7045784929146657
5,1,Amiloride_EF5Day13-11_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-03_c4.jpg,Amiloride_EF5Day13-11_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-03_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1590.4621727984274,1020.6878192525132,0,1,0.036737546,0.13211784,0.17523164,0.21369109,0.17164274,0.27057922,2.851650053564505,3.0011627594588095,2.022930750540843,1.5470244305802043,0.8477381142315942,0.5245100535381806,0.16790392193631287,0.1781990971082987,0.5334733926825486,0.7825195430071006,0.8816072814991341,0.21264909872989576,0.011804968468481577,0.0008193706365480822,0.007464068591305966,0.0002690910065388634,0.0007401244990269141,5.245712617995885e-05,0.003716017359522798,0.0002753317888187649,0.00012061208284851147,0.00048657342934558715,6.476718917713267e-05,2.3197840343725824e-05,0.0021735117842139095,0.0003146919042745763,0.00016289467458344888,1.434300887503707e-05,0.0003546752048875124,7.2737908047158e-05,9.824509231566831e-06,3.268899988743728e-05,0.0011771893685300883,0.00041093418969194586,0.00019759223665217696,6.70658311206149e-06,2.6682127933834363e-05,0.00023549343647182055,3.798116545208458e-05,4.273476706177332e-05,4.578546724191291e-05,3.060139330007233e-05,1.5707963267948966,0.6113331854206928,-1.5707963267948966,-2.678216780507159,-2.172023625686937,0.25509576419028474,1.5707963267948966,0.6471141318963384,-0.40751138672858134,1.4846098901350873,2.5625104483100025,0.36742614466841506,-1.5707963267948966,-2.024210997708133,2.293110811876488,2.7983077164635666,-1.8784948744378318,-1.500206411083731,-1.2457898383877324,2.8554821213244783,1.5707963267948966,1.1185760398449582,-1.3358456002486119,2.0609995058524606,-0.7718243273587576,1.2232089621473878,2.3975995817050673,-2.9021821624403223,-0.09466277632945186,-1.7045784929146657
8,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-33_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-33_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1498.131961051417,1110.775834738831,0,1,0.016946765,0.063691236,0.12685536,0.20045233,0.25967908,0.33237523,1.2259100714255597,1.3152798129058911,1.2540262006254634,1.121541803544225,0.9967509167751787,0.8365032844866955,0.26744383453806425,0.49239557709439924,0.5769712770903824,0.7357982501397052,0.7710990095570998,0.656652315230718,0.12245934660460218,0.0023692635972626117,0.05931798889156981,0.008342646995800534,0.005555010950926514,0.0025153522175404086,0.02501674805286399,0.005627760904815687,0.00030033849845603115,0.009442314953598669,0.004121813184454854,0.0015017756972878374,0.013311211274156371,0.002532786399954219,0.0017916267341152403,0.0001942273821338516,0.0049324424673511565,0.004069515286086694,0.0009426837009363669,0.0006994686710029306,0.0008031201272718071,0.0020592015165897333,0.002700787068284875,0.000801135066342304,0.0003399377792203354,0.0024402492079022143,0.0030871618855107326,0.000635017594371423,0.00072386506435098,0.00016573700435528344,1.5707963267948966,-2.267933826529188,-1.5707963267948966,2.517182316100579,-2.1896232328898417,1.764678179688426,1.5707963267948966,-0.49486231090636973,-2.573612046823015,1.0627488360027344,-1.344096459213891,1.9195860354194274,-1.5707963267948966,2.6275614848050983,-2.0239085835910524,0.38012043100086107,-2.1211194090354066,2.042277454155094,-1.268513436966536,2.124087354756563,-1.5707963267948966,-0.8093278958831858,1.3242456093616992,-1.4288208746844389,1.2988316824490465,0.6219171303259701,-0.9915497818879901,0.21492802935084954,-1.5549894784906173,2.2553330182260583
9,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-34_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-34_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1498.131961051417,1110.775834738831,0,1,0.016946765,0.063691236,0.12685536,0.20045233,0.25967908,0.33237523,1.2259100714255597,1.3152798129058911,1.2540262006254634,1.121541803544225,0.9967509167751787,0.8365032844866955,0.26744383453806425,0.49239557709439924,0.5769712770903824,0.7357982501397052,0.7710990095570998,0.656652315230718,0.12245934660460218,0.0023692635972626117,0.05931798889156981,0.008342646995800534,0.005555010950926514,0.0025153522175404086,0.02501674805286399,0.005627760904815687,0.00030033849845603115,0.009442314953598669,0.004121813184454854,0.0015017756972878374,0.013311211274156371,0.002532786399954219,0.0017916267341152403,0.0001942273821338516,0.0049324424673511565,0.004069515286086694,0.0009426837009363669,0.0006994686710029306,0.0008031201272718071,0.0020592015165897333,0.002700787068284875,0.000801135066342304,0.0003399377792203354,0.0024402492079022143,0.0030871618855107326,0.000635017594371423,0.00072386506435098,0.00016573700435528344,1.5707963267948966,-2.267933826529188,-1.5707963267948966,2.517182316100579,-2.1896232328898417,1.764678179688426,1.5707963267948966,-0.49486231090636973,-2.573612046823015,1.0627488360027344,-1.344096459213891,1.9195860354194274,-1.5707963267948966,2.6275614848050983,-2.0239085835910524,0.38012043100086107,-2.1211194090354066,2.042277454155094,-1.268513436966536,2.124087354756563,-1.5707963267948966,-0.8093278958831858,1.3242456093616992,-1.4288208746844389,1.2988316824490465,0.6219171303259701,-0.9915497818879901,0.21492802935084954,-1.5549894784906173,2.2553330182260583
10,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-34_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-34_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1558.3804003565979,1018.7727404302886,0,1,0.0252232,0.08471343,0.15869786,0.2081612,0.24363847,0.27956584,1.5400711157617,1.5012392039105285,1.4627174935917557,1.2247280353952283,0.9754385003668873,0.7007377347439399,0.2651089177294745,0.5661066780150319,0.8630359750257889,0.9988056185660308,1.0984699366134303,0.8539026415670252,0.0852437415926223,0.008550281319732967,0.04238018855920336,0.002540143334318571,0.012347379157910303,0.0021156419388640092,0.016834119382864558,0.0032913656778973924,0.0006935807207489531,0.011177113511090228,0.0016836295712000082,0.0007105468256374083,0.00849228997452923,0.004320071223682809,0.0016699098119272,0.00028016923369344473,0.005951694218799482,0.0009151682784353243,0.0009200626280725274,0.00013033911079361778,0.0010161350844374469,0.0030023775843033697,0.0008277822379119756,0.0004079943517261382,0.00026272090905525087,0.0015073712737253499,0.0009968878162837443,0.000558675931004041,0.00016844440689317577,0.00030497172700368676,1.5707963267948966,0.9522942529213778,-1.5707963267948966,1.6189270230669794,-2.329483057118482,1.011678087618592,1.5707963267948966,-2.786526681821469,-0.14707127248820087,0.7962280650824749,-2.465246772366716,-0.5852808045045628,-1.5707963267948966,-0.030612145060684992,-3.1038553778916276,-2.6060347941410873,-2.3137462514687157,-0.6873322664519834,2.2983345336127656,1.6737369736557905,1.5707963267948966,3.1217811185387214,0.2088825489385974,1.2269148771041738,-1.6470067809584406,0.8476026291969858,2.0956867294952555,-0.9291448252463929,1.5797191504683035,2.7404577303738504
11,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-35_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-35_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1558.3804003565979,1018.7727404302886,0,1,0.0252232,0.08471343,0.15869786,0.2081612,0.24363847,0.27956584,1.5400711157617,1.5012392039105285,1.4627174935917557,1.2247280353952283,0.9754385003668873,0.7007377347439399,0.2651089177294745,0.5661066780150319,0.8630359750257889,0.9988056185660308,1.0984699366134303,0.8539026415670252,0.0852437415926223,0.008550281319732967,0.04238018855920336,0.002540143334318571,0.012347379157910303,0.0021156419388640092,0.016834119382864558,0.0032913656778973924,0.0006935807207489531,0.011177113511090228,0.0016836295712000082,0.0007105468256374083,0.00849228997452923,0.004320071223682809,0.0016699098119272,0.00028016923369344473,0.005951694218799482,0.0009151682784353243,0.0009200626280725274,0.00013033911079361778,0.0010161350844374469,0.0030023775843033697,0.0008277822379119756,0.0004079943517261382,0.00026272090905525087,0.0015073712737253499,0.0009968878162837443,0.000558675931004041,0.00016844440689317577,0.00030497172700368676,1.5707963267948966,0.9522942529213778,-1.5707963267948966,1.6189270230669794,-2.329483057118482,1.011678087618592,1.5707963267948966,-2.786526681821469,-0.14707127248820087,0.7962280650824749,-2.465246772366716,-0.5852808045045628,-1.5707963267948966,-0.030612145060684992,-3.1038553778916276,-2.6060347941410873,-2.3137462514687157,-0.6873322664519834,2.2983345336127656,1.6737369736557905,1.5707963267948966,3.1217811185387214,0.2088825489385974,1.2269148771041738,-1.6470067809584406,0.8476026291969858,2.0956867294952555,-0.9291448252463929,1.5797191504683035,2.7404577303738504
12,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-35_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-35_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1580.432311547735,1104.2566302189473,0,1,0.06708449,0.15432005,0.17058866,0.17620657,0.19429386,0.23750637,3.1053430155334953,2.2238811267904675,1.3981156322214723,0.9781741361095908,0.7876969388572996,0.6593870310011192,0.08191143623659916,0.25770123406847045,0.4292983437481271,0.3478241625485458,0.259008300595195,0.1424103472910057,0.046783101272772847,0.003659990819925028,0.01632959520737628,0.00129145171849401,0.0037879178933486646,0.0009163596247096288,0.003456440007967819,0.0011393982570416436,0.00021848811308529287,0.0017259875722934904,0.00045701316780091334,7.052198258513629e-05,0.00490491701220516,0.0007881245705008245,0.0001846766412195337,0.00011445280609018488,0.0009574367513661046,0.00013059118692726959,0.0001589927888369736,5.1233014483467637e-05,0.001976289205432006,0.0006638936246409282,4.846725126309048e-05,0.00023511545186906784,0.0002195911070258393,0.0006877444012552463,0.0005272862029823869,0.00019886657161012898,6.678047044286948e-05,7.149554993471407e-05,1.5707963267948966,0.9237841990733111,-1.5707963267948966,-0.187367437881378,-2.3185924304902215,-0.11611446607946173,1.5707963267948966,3.03909407442756,-1.4647415502332861,0.8304626480370968,1.7174678814416438,-0.31462098167249786,-1.5707963267948966,-0.23302151123913936,1.8947927246505984,3.0470450181146354,-2.1214529828402595,-1.7827418724211055,-0.34409776655512925,-0.44492890585259626,1.5707963267948966,2.9972896254956645,-2.0712509277831264,-0.2943658055496781,-1.6400857449026378,1.017541893114705,-2.9851345337055992,-2.5408224394432057,2.766487620332637,-2.930075544080052
13,1,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-36_c4.jpg,DMSO_EF5Day13-14_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-36_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1580.432311547735,1104.2566302189473,0,1,0.06708449,0.15432005,0.17058866,0.17620657,0.19429386,0.23750637,3.1053430155334953,2.2238811267904675,1.3981156322214723,0.9781741361095908,0.7876969388572996,0.6593870310011192,0.08191143623659916,0.25770123406847045,0.4292983437481271,0.3478241625485458,0.259008300595195,0.1424103472910057,0.046783101272772847,0.003659990819925028,0.01632959520737628,0.00129145171849401,0.0037879178933486646,0.0009163596247096288,0.003456440007967819,0.0011393982570416436,0.00021848811308529287,0.0017259875722934904,0.00045701316780091334,7.052198258513629e-05,0.00490491701220516,0.0007881245705008245,0.0001846766412195337,0.00011445280609018488,0.0009574367513661046,0.00013059118692726959,0.0001589927888369736,5.1233014483467637e-05,0.001976289205432006,0.0006638936246409282,4.846725126309048e-05,0.00023511545186906784,0.0002195911070258393,0.0006877444012552463,0.0005272862029823869,0.00019886657161012898,6.678047044286948e-05,7.149554993471407e-05,1.5707963267948966,0.9237841990733111,-1.5707963267948966,-0.187367437881378,-2.3185924304902215,-0.11611446607946173,1.5707963267948966,3.03909407442756,-1.4647415502332861,0.8304626480370968,1.7174678814416438,-0.31462098167249786,-1.5707963267948966,-0.23302151123913936,1.8947927246505984,3.0470450181146354,-2.1214529828402595,-1.7827418724211055,-0.34409776655512925,-0.44492890585259626,1.5707963267948966,2.9972896254956645,-2.0712509277831264,-0.2943658055496781,-1.6400857449026378,1.017541893114705,-2.9851345337055992,-2.5408224394432057,2.766487620332637,-2.930075544080052
14,1,DMSO_EF5Day13-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-04_c4.jpg,DMSO_EF5Day13-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-04_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1596.7654777372716,1089.080964057024,0,1,0.021421395,0.07096379,0.1295051,0.19435212,0.26031923,0.32343832,1.1479975615705373,1.1187193523707197,1.088945756907603,1.06930618396123,1.023946526886914,0.8910306542247102,0.05122064208062595,0.0403851541353804,0.04719248039544435,0.059524371298308114,0.07739479914619934,0.0711300464264266,0.033376531698386384,0.003382442306934301,0.009072034072228815,0.003010318974462014,0.0010968380902865405,0.00046274575927986,0.0021507672978181985,0.0004940302555887394,0.0007647119088741074,0.001072987793497107,0.0005302759890105731,5.249952442354161e-05,0.00015450894225265226,0.0009304769179324941,8.255805036021192e-05,0.0003814019238408162,4.455328876168035e-05,0.0006795507376609051,0.0001195525181594733,7.612634569127022e-05,0.00027889803583795616,0.0003821600054248282,0.00045675058010859133,0.00018776396556203714,0.00015082537556353157,0.000560091603129805,0.0003911192143392759,0.00014870506690292345,0.000172672046308581,0.00018013773483303944,1.5707963267948966,0.5454331142114959,-1.5707963267948966,2.7484293466788667,-2.32779826700212,1.2248533639887575,-1.5707963267948966,-0.46932785858512044,-2.0566896419101814,-2.657611143837129,1.8193107438749607,-3.0086462212126834,1.5707963267948966,-0.516036741960574,2.685046636775423,-0.9726377631128864,2.3021719987498215,-1.5957269771408682,2.7188929979941303,0.6422520934513011,1.5707963267948966,-0.2546760360552335,1.0559508775407445,1.9230935412594075,0.20258377640359554,0.6893218475626604,-1.6597684542038877,-2.6839548152298542,-1.2350014748305418,1.3735494571360372
