ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Fluorescence,Intensity_IntegratedIntensity_Fluorescence,Intensity_LowerQuartileIntensity_Fluorescence,Intensity_MADIntensity_Fluorescence,Intensity_MassDisplacement_Fluorescence,Intensity_MaxIntensityEdge_Fluorescence,Intensity_MaxIntensity_Fluorescence,Intensity_MeanIntensityEdge_Fluorescence,Intensity_MeanIntensity_Fluorescence,Intensity_MedianIntensity_Fluorescence,Intensity_MinIntensityEdge_Fluorescence,Intensity_MinIntensity_Fluorescence,Intensity_StdIntensityEdge_Fluorescence,Intensity_StdIntensity_Fluorescence,Intensity_UpperQuartileIntensity_Fluorescence,Location_CenterMassIntensity_X_Fluorescence,Location_CenterMassIntensity_Y_Fluorescence,Location_CenterMassIntensity_Z_Fluorescence,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Fluorescence,Location_MaxIntensity_Y_Fluorescence,Location_MaxIntensity_Z_Fluorescence,Number_Object_Number,Parent_HighSignalRegions
1,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,152640,987138,2106,1537,1155,499,1681.4154415618448,1126.5973008385745,61.1738131256806,593144,0.834174890025891,440.8483686125823,55,0.15462883608978684,0.01634686394234599,880.8477040337821,1139.285741155396,58.008620049092706,12.918723334567837,9.899494936611665,713.0521225314777,485.7875110508537,-50.77235644333809,10832.33011668188,0.2573405446232281,811.9380714334548,22640.53056082502,0.10017137229442596,0.03113529086112976,12.427434940262225,0.10128744691610336,0.6315752863883972,0.08554821108770991,0.14832632704943016,0.1254129409790039,0.05386980623006821,0.05386980623006821,0.004596968751942824,0.06838321266843501,0.1720050871372223,1684.604875081644,1138.6084894982048,0.0,1681.4154415618448,1126.5973008385745,1689.0,1148.0,0.0,1,53
2,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,16857,626745,2134,1438,1245,733,1554.2218069644657,1060.4726226493444,27.37282448702791,313936,0.760730858004562,146.50255631080518,25,0.026896106071847403,0.03653258363870721,648.0853701022388,1059.0731797189464,26.476404589747453,6.333113960983987,4.47213595499958,412.69365161591145,420.65112206431803,-56.31001401046705,2407.9911242215094,0.05369565771367413,180.03365962579846,1932.9634922407568,0.09370431303977966,0.015426278114318848,0.652254622660962,0.08978274464607239,0.2404678463935852,0.08520286778315118,0.11466829757612605,0.10549960285425186,0.06228627637028694,0.06228627637028694,0.0044928982551004516,0.028226253758823,0.13159725069999695,1553.6999866299702,1060.0812920585524,0.0,1554.2218069644657,1060.4726226493444,1501.0,1120.0,0.0,1,11
4,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1526,26558,1430,1193,1332,922,1372.1802096985584,981.1874180865007,6.636318205421602,14186,0.9148264068779615,44.07906016767892,5,0.05745914602003163,0.15068596306654505,228.71997467622091,275.74626017409554,9.055385138137417,3.2324308129876997,2.8284271247461903,89.06600326306935,92.3679452375837,8.142306663509737,356.73506473629425,0.10757084449457212,26.36791154742241,156.0974925532937,0.08978274464607239,0.010105893015861511,1.8427817848799934,0.0911894142627716,0.1459074467420578,0.08451253701096927,0.10229193483177831,0.09736588597297668,0.059763528406620026,0.059763528406620026,0.00497196965359398,0.0161796959475896,0.11559765040874481,1370.9362271087523,979.8278769790145,0.0,1372.1802096985584,981.1874180865007,1375.0,932.0,0.0,1,4
5,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,19824,491385,1987,1361,1372,562,1686.9590395480227,1135.0979620661824,34.99815892754847,264205,0.773822903338177,158.87322220824333,31,0.04034311181660002,0.028572931566776205,584.0612942275184,840.2172338151604,21.02379604162864,5.565671073177167,4.242640687119285,403.22525101402783,369.94560141404463,-22.585292192962566,2952.726188957803,0.0750326451051267,224.5241502225399,2200.087087519467,0.09203764796257019,0.010388627648353577,4.4677859318414255,0.08978274464607239,0.26880547404289246,0.0859916316440214,0.11098098706212,0.10128744691610336,0.05610980466008186,0.05610980466008186,0.004196532086906027,0.02870587089578616,0.12092588096857071,1689.1592834351802,1138.9864113676117,0.0,1686.9590395480227,1135.0979620661824,1745.0,1256.0,0.0,1,16
6,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,80,99,1378,1212,1367,1203,1371.9625,1206.5875,1.0654596654486548,86,0.6487549641144025,10.092530088080641,1,0.8080808080808081,0.9385620426831546,11.826233890580259,11.180339887498949,4.123105625617661,1.9087970345939609,2.0,8.0,8.999732882996637,82.96771396579302,32.72792206135786,0.9302325581395349,2.2157826498150826,7.253523804247379,0.08277294039726257,0.009532548487186432,0.03594689055664415,0.08894941210746765,0.11726431548595428,0.07640629826948561,0.09066904755309224,0.09201490134000778,0.056675296276807785,0.056675296276807785,0.008089052215312918,0.013785978512426583,0.10185293853282928,1371.970452004395,1206.5524436943363,0.0,1371.9625,1206.5875,1374.0,1207.0,0.0,1,1
7,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-90_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-90_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,327149,991935,1886,1428,881,441,1373.1591843471936,916.6649813999126,20.666746990308912,651728,0.8842692915972007,645.3983605654447,29,0.32980890884987424,0.04838690871228655,1075.3147353031588,1194.2671392950574,147.07821048680188,45.50670941272769,35.12833614050059,792.8897443373514,502.1475961772019,30.356020503180225,9217.513703397204,0.501971681437655,695.6090403571725,52200.44423285825,0.1032596081495285,0.043213337659835815,19.99452776075182,0.08978274464607239,0.7314866185188293,0.08620758958448042,0.1595616805579667,0.1405792236328125,0.053304314613342285,0.005893725901842117,0.004321413030017399,0.07886515869168126,0.19753725826740265,1372.194504610946,896.693738739979,0.0,1373.1591843471936,916.6649813999126,1694.0,1190.0,0.0,1,7
8,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-91_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere4_2-Image Export-91_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,214213,670344,2154,1367,1253,623,1601.6388594529744,983.4349222502836,23.01083110844111,427223,0.6239313849473942,522.2494256544027,33,0.31955682455575046,0.04345779582177577,649.394455822844,932.3416755674928,148.7615541731129,39.646008569760795,26.019223662515376,628.7391619118436,507.48821280602976,-63.970165934021985,7870.349093728137,0.5014079298165127,589.1221369579434,38998.11605899967,0.11167607456445694,0.04854157567024231,6.175826448666944,0.11559765040874481,0.7340015172958374,0.08561577342798189,0.1820529849215485,0.1518011838197708,0.056675296276807785,0.03114313818514347,0.004402211693457898,0.09933202432049561,0.2225039154291153,1595.5191605909274,984.2656557586452,0.0,1601.6388594529744,983.4349222502836,1575.0,957.0,0.0,1,5
9,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-99_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-99_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,68011,1265418,2029,1801,1116,415,1448.5348252488568,1041.0234814956405,28.746398125788218,561330,0.6492009793162009,294.26908549316414,28,0.053745876856501174,0.03478696689665987,556.0347613682864,1470.532216580106,63.51377803280167,13.97346003710498,10.0,656.5587685177662,422.9294437540272,-68.61457386064183,4956.626909383691,0.12116045819749524,379.6728939600289,8279.764430828393,0.09427765011787415,0.015143528580665588,7.673988125902984,0.13382941484451294,0.4079325497150421,0.08682206584953782,0.12174154814410011,0.10942117869853973,0.05078157037496567,0.05078157037496567,0.003977697871339431,0.044465371493715655,0.1285090297460556,1448.8176567796006,1048.692255848933,0.0,1448.5348252488568,1041.0234814956405,1420.0,1122.0,0.0,1,33
11,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-101_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-101_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,256,357,1610,1003,1593,982,1601.7890625,992.42578125,1.1517483461822748,272,0.6327568037616814,18.0540666735282,1,0.7170868347338936,0.8682452232857305,20.675890241131093,20.396078054371138,7.615773105863909,3.115927790600014,2.8284271247461903,16.0,16.010387687641263,-5.729022771538117,60.8700576850888,0.9411764705882353,4.670500248670578,24.368678897619247,0.08978274464607239,0.004494905471801758,0.06932653207378282,0.08978274464607239,0.11334273964166641,0.08812264620133166,0.09519015194382519,0.09427765011787415,0.0799674466252327,0.0799674466252327,0.0020810077461313747,0.006472740806381384,0.09819921851158142,1601.8023148417842,992.4938293468625,0.0,1601.7890625,992.42578125,1602.0,996.0,0.0,1,1
12,1,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-102_c4.jpg,EF5Day11-4_EF_450ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-102_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,194635,1095255,1952,1481,1037,284,1482.6201710894752,1080.4673568474325,46.32227451445969,781059,0.3775415758224272,497.8121922869391,51,0.17770747451506727,0.02158788639983224,650.2473293761323,1245.4244256477389,107.62899237658968,23.7598419950124,15.132745950421556,819.0180754556962,602.1242373869475,-78.91834725060527,10644.134157188986,0.24919372288137004,808.8431920707226,26788.47264901176,0.09736588597297668,0.02329215407371521,2.3546952374026215,0.1032596081495285,0.7303854823112488,0.0867113199046658,0.13763440619113604,0.11756980419158936,0.059763528406620026,0.021319998428225517,0.0033821863923644406,0.057941796603792964,0.16021764278411865,1484.9659816493936,1080.2629981480288,0.0,1482.6201710894752,1080.4673568474325,1596.0,1230.0,0.0,1,47
