ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_Fluorescence,Intensity_IntegratedIntensity_Fluorescence,Intensity_LowerQuartileIntensity_Fluorescence,Intensity_MADIntensity_Fluorescence,Intensity_MassDisplacement_Fluorescence,Intensity_MaxIntensityEdge_Fluorescence,Intensity_MaxIntensity_Fluorescence,Intensity_MeanIntensityEdge_Fluorescence,Intensity_MeanIntensity_Fluorescence,Intensity_MedianIntensity_Fluorescence,Intensity_MinIntensityEdge_Fluorescence,Intensity_MinIntensity_Fluorescence,Intensity_StdIntensityEdge_Fluorescence,Intensity_StdIntensity_Fluorescence,Intensity_UpperQuartileIntensity_Fluorescence,Location_CenterMassIntensity_X_Fluorescence,Location_CenterMassIntensity_Y_Fluorescence,Location_CenterMassIntensity_Z_Fluorescence,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Fluorescence,Location_MaxIntensity_Y_Fluorescence,Location_MaxIntensity_Z_Fluorescence,Number_Object_Number
1,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,2070583,3254940,2520,1901,594,211,1591.9302544259274,1053.4277751724997,19.356370873431995,2378843,0.6645130344296721,1623.683514807109,-48,0.6361355355244643,0.0516625769643922,2052.559535392773,1987.6106258520556,265.1490147068248,89.43899959771262,81.60882305241266,1483.8718146456308,1533.829862202784,-59.728029482525734,22442.085953151924,0.8704159963478044,0.6672936285096036,0.04850387332995092,0.10577284662159876,0.07552976884698266,0.008575578579565528,0.006738423742672314,0.08196146991066844,0.00913370089740932,0.010985683708914026,0.040598298286065156,0.017564703937928226,0.0035487586359430646,0.012276159663792342,0.02301365351439654,0.011175955650136288,0.0032099806582504622,0.01348502616406991,0.00819048184038848,0.00814340445287774,0.0008350657681378872,0.0003180415522474722,0.007092615458963455,0.0055085757838865095,0.003975813192359992,0.0013648440028991016,0.0035052072108057606,0.007677642824151287,0.007890458167275903,0.0005858226149423026,0.0012622976658215837,886.4767424631864,74750.45899448427,0.028620392084121704,0.005893724039196968,22.626198859177702,0.10128744691610336,0.12705686688423157,0.04552571602625238,0.03610116522471414,0.03423137217760086,0.002805490279570222,0.002805490279570222,0.03392415176124562,0.01423813351663446,0.042647842317819595,1614.5131594243846,1052.0287481371251,0.0,1591.9302544259274,1053.4277751724997,0,1175.0,1224.0,0.0,1
1,2,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,43,50,1495,1209,1490,1199,1492.2093023255813,1203.8837209302326,1.0357040363066343,44,0.8736270000374075,7.399277020331919,1,0.86,0.9655267962129833,10.657585017478214,9.219544457292887,3.0,1.5011575924763847,1.0,4.0,5.185940403000889,-3.4397849521133326,23.65685424949238,0.9772727272727273,0.6362544238611945,0.05466901359063559,0.10750791275960102,0.16057887929704415,0.027077509523821357,0.011481608201222975,0.06508502248013145,0.016598559538071374,0.056699343052599896,0.006019462088634338,0.015082011398984654,0.020505257817500178,0.06057748643375786,0.03498300120438965,0.03427753041663882,0.016411905057834925,0.012470169763828557,0.018533385873899442,0.014732442791091925,0.02651177438526716,0.046801882394109096,0.06195557910786589,0.03400733291093464,0.032304151051358934,0.005876531778950394,0.013522361284808767,0.019233256233179147,0.023324727416955703,0.043591065179777407,0.028192053005924377,1.8425995409488678,3.5785912573337555,0.08277294039726257,0.0028054937720298767,0.04184258999762728,0.08978274464607239,0.08978274464607239,0.0837545245885849,0.08322305249613385,0.08277294039726257,0.07687921822071075,0.07687921822071075,0.0036749855271289737,0.0030794521848672074,0.08586116880178452,1492.2464322508054,1203.9030126639693,0.0,1492.2093023255813,1203.8837209302326,0,1494.0,1205.0,0.0,2
1,3,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1,1,1494,1237,1493,1236,1493.0,1236.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.0,0.0,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.0,0.0,0.08586116880178452,1493.0,1236.0,0.0,1493.0,1236.0,0,1493.0,1236.0,0.0,3
1,4,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1,1,1492,1242,1491,1241,1491.0,1241.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,1.0,1.0,1.0,0.0,0.0,45.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.0,0.0,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.08586116880178452,0.0,0.0,0.08586116880178452,1491.0,1241.0,0.0,1491.0,1241.0,0,1491.0,1241.0,0.0,4
1,5,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-84_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,32,110,1491,1255,1481,1244,1486.96875,1251.0625,1.9545996650292228,55,0.9286176699063149,6.383076486422923,1,0.2909090909090909,0.5116137170652023,15.042316418046466,13.45362404707371,2.0,1.0571383476483185,1.0,4.682753121357147,5.581271519946839,-43.75851194432311,28.035533905932738,0.5818181818181818,0.2110341786853861,0.08473047034362838,0.015312608913819883,0.02014140691873183,0.05599848414362,0.023236931428804074,0.07153170356917486,0.010105725325969853,0.007506372548086981,0.016053807661141006,0.02531748821206054,0.0102800631297578,0.017445312166140595,0.01696285907091717,0.006692635389108381,0.006303269415234089,0.028635615995395776,0.004611052798194905,0.009768951779877631,0.009354075451919306,0.0185828321591668,0.00911855040049517,0.018697295824060767,0.0032795985373519575,0.0024554615268674264,0.00509072406588589,0.0045658996955129875,0.004093547888777589,0.013350076794952521,0.00591093986454783,2.438314400613308,2.683827728033066,0.08277294039726257,0.003088228404521942,0.07053934076072423,0.08978274464607239,0.08978274464607239,0.08407980691770027,0.0838696165010333,0.08586116880178452,0.07687921822071075,0.07687921822071075,0.0035442829181872573,0.0034605357593682972,0.08586116880178452,1487.0098124864978,1251.0051443481636,0.0,1486.96875,1251.0625,0,1490.0,1245.0,0.0,5
2,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere1_2-Image Export-85_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1780954,2512940,2309,1906,753,291,1526.6160507233762,1106.9471114919306,5.622202302971078,1869512,0.6413362009063892,1505.8489499794682,-25,0.7087132999594101,0.17786624281939223,1737.4646928888435,1784.1830063084897,279.29375216785644,101.63936462362078,93.47726996441435,1352.5955910543898,1333.0871260797367,-40.1093982063388,11217.201399856245,0.9526304190612309,0.7115320555778838,0.07118388289216152,0.16190410847176276,0.06219947629526994,0.004030369968840112,0.013525114912586851,0.054013120925509805,0.005860123947246116,0.011704320835675791,0.03138120513770782,0.013677975864023804,0.004189717520934635,0.003074698761873634,0.01771497445218964,0.003595763586898376,0.003071250940297712,0.006304662910890014,0.008884717149228876,0.004779836156483136,0.002731156736459096,0.002729025245086205,0.0037504836957642437,0.007511816423239505,0.002542024662145272,0.004372118361374629,0.00890383986766797,0.014066153721341651,0.0009916785413431382,0.003611844644667914,0.002083148539147612,272.9568700264208,60510.22054449911,0.025532158091664314,0.005893724039196968,46.08852683774124,0.08978274464607239,0.1357709765434265,0.028136982788003383,0.03397629615616075,0.03423137217760086,0.002805490279570222,0.002805490279570222,0.0297264519647935,0.011496310998005646,0.039559606462717056,1561.3280812819678,1076.6283509537325,0.0,1526.6160507233762,1106.9471114919306,0,1479.0,1338.0,0.0,1
3,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-86_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-86_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1135803,1976760,2232,1797,787,429,1578.5033672212523,1120.0266604331914,8.9824037333911,1403432,0.4973782704555663,1202.5594765452693,1,0.5745780974928671,0.11132877453310294,1380.671360096929,1444.1000657849165,416.63533215511137,130.42331673687227,108.93117092916977,1288.4333926872969,1197.7790412869701,-44.600347720038364,11322.770988371696,0.8093039064236813,0.6697716376436986,0.08145147220014423,0.13178485267924858,0.026902947727693374,0.03857832200580116,0.034424232373251526,0.05163435216004823,0.02648336693145291,0.004126153945860674,0.006112610637283058,0.010298626678088547,0.005384735817113859,0.033738569339660525,0.016167844140601965,0.009050061963381534,0.00354229558096372,0.004613382981836405,0.021534209311038863,0.007928502404377796,0.005052550232759105,0.015235276732833848,0.005447098988045685,0.003348810727339404,0.0048893371452629845,0.008588004837026273,0.010165141853134385,0.01051275868865625,0.009988109659193924,0.003548137082375649,0.0010730851745615938,106.42671822593547,33032.711532976246,0.023560000583529472,0.0056109800934791565,3.539644058208494,0.05162980407476425,0.08978274464607239,0.010862085958964632,0.029083134604307476,0.028620392084121704,0.002805490279570222,0.002805490279570222,0.007650390796901881,0.009244666617051478,0.03423137217760086,1575.4518668018395,1118.232942158452,0.0,1578.5033672212523,1120.0266604331914,0,1676.0,747.0,0.0,1
4,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-87_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1694371,2440368,2367,1880,753,368,1549.4121494052956,1088.8928617168258,4.127174200975676,1770441,0.6044477783819274,1468.788671202383,-4,0.6943096287117353,0.2422965330040096,1653.0537433652603,1678.523160400237,449.21820978228385,155.18059970028466,146.32156368765337,1310.8419466210644,1316.896612583123,-57.55714697270225,9374.229611618492,0.9570333041315695,0.7657084495759885,0.0354615662053627,0.15544323856491182,0.06917737193244067,0.01582184740614696,0.012107905792017362,0.06014105496533283,0.007019795818340066,0.007095792898968914,0.00623269840619828,0.009914450895813408,0.008254500774737945,0.002557120363381709,0.02199562380854878,0.011403754112050935,0.002369842970943078,0.007744809124666643,0.01001312405908556,0.001533436873474683,0.0013522484115036702,0.00688609660162342,0.014543531621070244,0.002437655635944584,0.0015111359012867477,0.0033870038602862728,0.008338235130052295,0.0023965263142262426,0.0062931465869152615,0.003858559445674757,0.0009767838773245938,99.29979902529158,39518.22957077995,0.018231762573122978,0.003921570256352425,21.138208020365262,0.0911894142627716,0.09819921851158142,0.012265291381582458,0.023323244773889515,0.023560000583529472,0.00194941193331033,0.0,0.015488179588127409,0.007927241600501726,0.025532158091664314,1564.2459471116517,1073.8335694386628,0.0,1549.4121494052956,1088.8928617168258,0,1422.0,1197.0,0.0,1
5,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-88_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1931328,2835360,2469,1857,679,273,1603.389080466912,1085.123683807204,5.525994111926614,2011623,0.6402717988723146,1568.1336624963678,-30,0.6811579481970543,0.18096291449926183,1812.9215087134155,1812.3490281951763,326.744548539069,114.02620531629516,105.07616285342742,1359.1025358365068,1392.5928260398844,-65.20565730145658,11580.789278334923,0.9600844691077801,0.7486561716693689,0.029519897017402708,0.1507510841242506,0.07582375606239003,0.0034158680071699147,0.00924681304041343,0.06333805280259065,0.008128489420013861,0.010805757658255477,0.01729162640661562,0.010432377047445988,0.003693705425710411,0.0019885341055708903,0.02364840191572623,0.015404977283890514,0.005111526277929536,0.0017703144053327598,0.0028099643197688484,0.0033281476104205085,0.0013968125563959826,0.0006480697010603128,0.014458149148297758,0.0016770168375085596,0.004085495488796198,0.0025049386324569214,0.005720487951933674,0.007982951151000029,0.005201487177738711,0.0026732116689188036,0.0006951056954563298,297.6681698275497,59282.81266981072,0.023560000583529472,0.0056109800934791565,23.155686060269577,0.08978274464607239,0.10913058370351791,0.029835438491284928,0.030695362294654624,0.028620392084121704,0.00194941193331033,0.00194941193331033,0.03265072935321121,0.011576617216212231,0.03423137217760086,1617.6993285611386,1066.919217421082,0.0,1603.389080466912,1085.123683807204,0,1952.0,459.0,0.0,1
6,1,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c4.jpg,EF5Day11-1_EF_450ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-89_c1.jpg,C:\Overflow\EF5 Consistent staining,C:\Overflow\EF5 Consistent staining,1442153,1978172,2272,1787,788,454,1542.7025794073168,1113.5205848477935,4.242841639034716,1551800,0.5608342353390371,1355.066872578047,0,0.7290331679955029,0.23569109692896972,1501.0005010196205,1572.87157772019,433.22973120505014,152.9372106438576,139.08630414242805,1263.6028293356378,1242.7205125807122,-67.86810332169404,8768.776726088607,0.9293420543884521,0.7422238868027321,0.03938677717907154,0.16840458015910187,0.05106918859353722,0.008416377235946406,0.015042455392188852,0.0643110033784981,0.009151393706607787,0.00624487246646547,0.016392740600173067,0.0018742630031176818,0.0038072676212916852,0.004981182275977642,0.018196963382655723,0.0072028364969095714,0.007382808957470232,0.00898946690829653,0.003244781609476816,0.0037598790642798543,0.0028180674066905077,0.009923549491283797,0.014422705810110677,0.0023731724134976677,0.004446340355172402,0.005130479557580165,0.006256238196370316,0.006213339056914578,0.005012041240083675,0.004005594228707863,0.0011221192553158789,71.79440057231113,33977.674735636916,0.017666272819042206,0.005060391500592232,55.1710813454801,0.07518979907035828,0.0911894142627716,0.009451606183821898,0.023560381412816057,0.023560000583529472,0.0,0.0,0.007128199122472016,0.007712179058261007,0.028620392084121704,1591.0517709695534,1086.9460878232453,0.0,1542.7025794073168,1113.5205848477935,0,1516.0,798.0,0.0,1
