ImageNumber,ObjectNumber,FileName_Brightfield,FileName_Fluorescence,PathName_Brightfield,PathName_Fluorescence,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_SpheroidMask,RadialDistribution_FracAtD_Fluorescence_1of6,RadialDistribution_FracAtD_Fluorescence_2of6,RadialDistribution_FracAtD_Fluorescence_3of6,RadialDistribution_FracAtD_Fluorescence_4of6,RadialDistribution_FracAtD_Fluorescence_5of6,RadialDistribution_FracAtD_Fluorescence_6of6,RadialDistribution_MeanFrac_Fluorescence_1of6,RadialDistribution_MeanFrac_Fluorescence_2of6,RadialDistribution_MeanFrac_Fluorescence_3of6,RadialDistribution_MeanFrac_Fluorescence_4of6,RadialDistribution_MeanFrac_Fluorescence_5of6,RadialDistribution_MeanFrac_Fluorescence_6of6,RadialDistribution_RadialCV_Fluorescence_1of6,RadialDistribution_RadialCV_Fluorescence_2of6,RadialDistribution_RadialCV_Fluorescence_3of6,RadialDistribution_RadialCV_Fluorescence_4of6,RadialDistribution_RadialCV_Fluorescence_5of6,RadialDistribution_RadialCV_Fluorescence_6of6,RadialDistribution_ZernikeMagnitude_Fluorescence_0_0,RadialDistribution_ZernikeMagnitude_Fluorescence_1_1,RadialDistribution_ZernikeMagnitude_Fluorescence_2_0,RadialDistribution_ZernikeMagnitude_Fluorescence_2_2,RadialDistribution_ZernikeMagnitude_Fluorescence_3_1,RadialDistribution_ZernikeMagnitude_Fluorescence_3_3,RadialDistribution_ZernikeMagnitude_Fluorescence_4_0,RadialDistribution_ZernikeMagnitude_Fluorescence_4_2,RadialDistribution_ZernikeMagnitude_Fluorescence_4_4,RadialDistribution_ZernikeMagnitude_Fluorescence_5_1,RadialDistribution_ZernikeMagnitude_Fluorescence_5_3,RadialDistribution_ZernikeMagnitude_Fluorescence_5_5,RadialDistribution_ZernikeMagnitude_Fluorescence_6_0,RadialDistribution_ZernikeMagnitude_Fluorescence_6_2,RadialDistribution_ZernikeMagnitude_Fluorescence_6_4,RadialDistribution_ZernikeMagnitude_Fluorescence_6_6,RadialDistribution_ZernikeMagnitude_Fluorescence_7_1,RadialDistribution_ZernikeMagnitude_Fluorescence_7_3,RadialDistribution_ZernikeMagnitude_Fluorescence_7_5,RadialDistribution_ZernikeMagnitude_Fluorescence_7_7,RadialDistribution_ZernikeMagnitude_Fluorescence_8_0,RadialDistribution_ZernikeMagnitude_Fluorescence_8_2,RadialDistribution_ZernikeMagnitude_Fluorescence_8_4,RadialDistribution_ZernikeMagnitude_Fluorescence_8_6,RadialDistribution_ZernikeMagnitude_Fluorescence_8_8,RadialDistribution_ZernikeMagnitude_Fluorescence_9_1,RadialDistribution_ZernikeMagnitude_Fluorescence_9_3,RadialDistribution_ZernikeMagnitude_Fluorescence_9_5,RadialDistribution_ZernikeMagnitude_Fluorescence_9_7,RadialDistribution_ZernikeMagnitude_Fluorescence_9_9,RadialDistribution_ZernikePhase_Fluorescence_0_0,RadialDistribution_ZernikePhase_Fluorescence_1_1,RadialDistribution_ZernikePhase_Fluorescence_2_0,RadialDistribution_ZernikePhase_Fluorescence_2_2,RadialDistribution_ZernikePhase_Fluorescence_3_1,RadialDistribution_ZernikePhase_Fluorescence_3_3,RadialDistribution_ZernikePhase_Fluorescence_4_0,RadialDistribution_ZernikePhase_Fluorescence_4_2,RadialDistribution_ZernikePhase_Fluorescence_4_4,RadialDistribution_ZernikePhase_Fluorescence_5_1,RadialDistribution_ZernikePhase_Fluorescence_5_3,RadialDistribution_ZernikePhase_Fluorescence_5_5,RadialDistribution_ZernikePhase_Fluorescence_6_0,RadialDistribution_ZernikePhase_Fluorescence_6_2,RadialDistribution_ZernikePhase_Fluorescence_6_4,RadialDistribution_ZernikePhase_Fluorescence_6_6,RadialDistribution_ZernikePhase_Fluorescence_7_1,RadialDistribution_ZernikePhase_Fluorescence_7_3,RadialDistribution_ZernikePhase_Fluorescence_7_5,RadialDistribution_ZernikePhase_Fluorescence_7_7,RadialDistribution_ZernikePhase_Fluorescence_8_0,RadialDistribution_ZernikePhase_Fluorescence_8_2,RadialDistribution_ZernikePhase_Fluorescence_8_4,RadialDistribution_ZernikePhase_Fluorescence_8_6,RadialDistribution_ZernikePhase_Fluorescence_8_8,RadialDistribution_ZernikePhase_Fluorescence_9_1,RadialDistribution_ZernikePhase_Fluorescence_9_3,RadialDistribution_ZernikePhase_Fluorescence_9_5,RadialDistribution_ZernikePhase_Fluorescence_9_7,RadialDistribution_ZernikePhase_Fluorescence_9_9
1,1,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-20_c4.jpg,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere1-Image Export-20_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1548.9689265297675,934.9460137688891,1,1,0.015322486,0.055722043,0.10793736,0.16615488,0.26242277,0.3924404,0.8516483635933386,0.9159609398671795,0.9311792780150574,0.9388219604521292,1.0636896352211727,1.0284966859328202,0.11921123212174829,0.2187071837052719,0.2721120069432187,0.25104901358903203,0.15015770738488232,0.16029803759670475,0.06856494203042293,0.004095516489405429,0.012863412903185593,0.001751738215017576,0.00242927054940622,0.003118765762228595,0.00791001794322525,0.0015550593658963919,0.0006507030985126209,0.0021323692863953647,0.0008497977076307649,0.0014371059276779327,0.0010186987872535652,0.0005479401262318848,0.001079287515712691,0.00045818171683663974,0.0011783850235957338,0.002521362392091622,0.0005846489733715646,0.0003437301514069868,0.0014027096062463225,0.000966937504989268,0.0008837570342527348,0.001311854669268396,0.00044910569602236555,0.00031618784452787916,0.0005219622330274303,0.0007092502036085877,0.0008203792120781808,0.0001511630370728779,1.5707963267948966,2.1800272061558705,-1.5707963267948966,1.3757724068303336,-2.198907969292808,0.25884878223472413,-1.5707963267948966,-1.9014521651829208,-1.807267112204891,0.4269997981686745,-0.7694362290727054,-0.6650554020726481,-1.5707963267948966,-0.9027676638410944,1.9403392195756008,1.9508255174873712,-1.5296868986100267,3.1403777187101958,2.063579506433122,-1.9511787872028064,1.5707963267948966,0.7576869722455583,-0.2703033588846172,-1.069895608035807,-2.0028054985736663,0.010124100307437059,-2.8679957553643387,3.007899297165484,1.7717330379464713,1.3803770390732086
2,1,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-19_c4.jpg,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2-Image Export-19_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1530.282602775576,945.4797923059126,1,1,0.019200161,0.06467516,0.12594669,0.1901176,0.26331612,0.3367443,1.1650763808960587,1.1277070692963604,1.1358318387230424,1.0887926370636953,1.045864898541701,0.8658841912242005,0.054895143602902666,0.047025440311884936,0.04558618892342619,0.05476509281580698,0.08343913863986906,0.08853825630785099,0.08817832023574797,0.00566430559776996,0.01809448339747035,0.007266155072009048,0.0032180193881523266,0.004033529144808837,0.00519215455037047,0.002844414225390552,0.0003618223679424523,0.0014521614110437015,0.0025908487701291555,0.0006791242042405138,0.0021883253295636434,0.0007808615023179745,0.0011661143258396075,0.00020585870451596592,0.000705140866045367,0.000443211606770941,0.0006595031267097271,0.0004184946031461789,0.0011249507970018536,0.00016553742833116128,0.0005680816911396143,0.00034819152725900336,0.0006477893855939193,0.0008165114430555199,0.00026252931205323406,0.0005562410677771883,0.000479285631285969,0.0007814565653201749,1.5707963267948966,-2.4372192888645765,-1.5707963267948966,3.1326033970078337,1.2708362533723638,2.1683513388982054,-1.5707963267948966,-0.08310055613616743,1.0950480810095653,0.8235551097135657,-0.8374276305729945,1.4593799042682176,-1.5707963267948966,-0.4644924206211446,-1.3503347899723428,-1.602199724546277,-1.2153842360651765,-1.8873515240927488,-2.4952855780337377,-3.12703407952386,-1.5707963267948966,1.8161520489690572,2.605446343645528,1.1379571283290788,1.6393352115392825,-1.7151968908780033,-2.0839326941325282,0.6484019400765455,-1.8013991469421515,-0.91536180539363
3,1,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-18_c4.jpg,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3-Image Export-18_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1445.7157809208547,1043.237296870298,1,1,0.017937116,0.06632066,0.12696245,0.19246124,0.2584105,0.3379081,1.077653906122711,1.1939407082760238,1.2413367711147922,1.1522828897408852,1.044340017551599,0.8220332001784335,0.06921958606929114,0.060053395462088974,0.10917516838626842,0.16774868149235095,0.16712486858951667,0.10999369440768231,0.09884629361660495,0.005073809886267107,0.023019018750184028,0.00604863933252624,0.002652439364574947,0.0026104164445343585,0.005602969539678131,0.0033195165785565753,0.0023324190479201783,0.001405238925721794,0.002404887704013508,0.00027783986808611796,0.0021789111166901206,0.0005175777321059562,0.0014222812480752614,8.864409664333496e-05,0.0003030850539357052,0.0010584377350216256,0.0006613679864595039,0.00034064022877188725,0.00044248406739920946,0.0011829841378421808,0.001098137576476877,0.00016486844923211985,0.00013652490855221814,0.000496599110283186,0.0006220073111244185,0.0005215286658343496,0.00019932803908408146,0.0004788769691556341,1.5707963267948966,2.9058826407342733,-1.5707963267948966,-3.0372093987995634,-0.6123653728699773,1.4479198548217735,-1.5707963267948966,-0.21909970867379241,-0.4567190399395271,0.6597488650788947,-0.8003401697822747,-0.5937904584230641,-1.5707963267948966,-1.4588339255604406,-2.361862392124839,-0.4787417161324983,3.1081992404262873,3.120949942467716,2.4176105375600323,-2.8268743065985538,-1.5707963267948966,1.615725443096314,1.746423967544169,-1.2968214119458361,0.36056970382740544,-0.9260969683389649,-2.2456114827355846,-0.7025035489120554,-1.717730213031778,-1.5277376562289908
4,1,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-17_c4.jpg,DMSO_EF5Day13-14_ER_1000ms_CA9_1600ms_Gamma_1_Sphere4-Image Export-17_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1577.7969367938151,1099.736770759356,1,1,0.024398865,0.07706118,0.13484508,0.19283558,0.255609,0.31525025,1.2107012336547032,1.1702230977244328,1.138707100305294,1.0890356060452318,1.038671214525272,0.8465052552237282,0.08924483173764125,0.051493685824217074,0.1085459869389438,0.10085208608358026,0.06770403420502025,0.09209067788573322,0.08461929194769222,0.0037669814783860725,0.018495751005427906,0.0018856458055124643,0.0017480699392496716,0.002166406922623361,0.006566311596985186,3.607922037220531e-05,0.0004884160764647261,0.0012331691181449115,0.0007041363987900144,0.00044651170353342306,0.002405189848857583,0.0009974334808065788,0.0002916288249293256,8.266132815685958e-05,0.0007884389944297067,0.0005501028648334764,0.00021878370465016345,0.00012682940139069267,0.00035614098365751597,0.0004805791607790705,0.0005607778510181729,0.0005896166021913188,0.0007721620245429666,0.0006003696104684593,0.00031625007819000337,0.0004228685030844778,0.00024550448305458197,0.00022954531109041376,1.5707963267948966,2.3770708975216697,-1.5707963267948966,-2.380165450236563,-2.576068947510666,1.3875621578688424,-1.5707963267948966,-2.3205114623920613,-1.532559567070223,-0.44354284982390346,-1.3455695196786444,0.5690972921805385,-1.5707963267948966,0.24613217026383857,0.5579858610785752,2.939996923549003,-0.4703199048211483,-1.9903641984579903,-0.38029714140465065,-2.86511032265203,1.5707963267948966,0.6746753917913304,2.6894987549360843,1.5403511150191451,-0.1984978246651647,0.7887546089988976,-2.1053818269658073,-2.5167204137085566,-2.117498307281774,-0.6719021267354611
5,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-27_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere1_1-Image Export-27_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1631.7237085378881,943.1384446100725,1,1,0.019269416,0.07384268,0.13735026,0.20063041,0.25509143,0.31381586,1.0365857361742672,1.134761828142423,1.1245270801753564,1.0977231100935583,1.009284919031622,0.8749123659705306,0.06908159330597166,0.056280630013344976,0.08032921446810384,0.04532874951253655,0.04666629908954201,0.07551041248305773,0.0954199999956016,0.005054852561817814,0.028449250057208195,0.009117816454370266,0.0012342623515608265,0.0008147261694957959,0.006244396848320777,0.002565401402859653,0.0014212353305674136,0.00203089325783058,0.0010798942654171018,8.391561121194763e-05,0.001209230994138063,0.003035318456032936,0.0010378833705087776,0.0007378512874197195,0.00012220625460071364,0.001005722496006507,0.0007061861014188729,0.0003309488897088561,0.0010555794493786463,0.0009580597636727054,0.0017387972537784133,0.0003410343310936384,0.0001285688389068065,0.0011268226203721915,0.0008529402270582977,0.00036681187904431855,0.00010381052373113411,0.0003792923555738935,1.5707963267948966,0.938717578290103,-1.5707963267948966,3.0077248156827756,-2.388514269308943,1.637067745381893,-1.5707963267948966,-0.21870598328634863,-1.55230886859581,-2.199241473484353,2.812402000462025,3.137280186007014,1.5707963267948966,-0.055998674932158245,-1.8669930909797368,-0.2037221865625189,-1.8880909109553856,-0.8035409159552793,-2.874496599866292,-1.6594892788329234,1.5707963267948966,-0.3230870080557913,1.7036875743669755,2.7790606296142917,-1.3943390503723068,0.7500977241899772,-0.8336421794654878,-1.2780503724914358,-1.5206423036001229,-0.9016859148311707
6,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-26_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2_1-Image Export-26_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1461.592003452575,1160.0778440586937,1,1,0.020011937,0.07131964,0.12482562,0.19316411,0.28874946,0.3019292,1.0959268364558223,1.1137818760068265,1.0665700234308129,1.0912511117113304,1.16307813444187,0.8042939987061791,0.10834985452634606,0.10633751881944699,0.13683789921848807,0.113434215314172,0.05763064973778324,0.10061476667334336,0.07523949225792632,0.005725364223551785,0.03037769083462344,0.004213729009871203,0.0033422912919506016,0.0015609409381709988,0.0030984865735698727,0.0019543458435186812,0.0004919944017615625,0.0014449012658459316,0.0007888899248418745,0.0007263196974583402,0.005270273672272416,0.0022988413889850697,0.0007399905620645651,0.000870281537619654,0.0010628064445486949,0.0015237179855978839,0.001209396141310357,0.00025775461310899295,0.0005904306445178555,0.001555340224341225,0.0010387874662723608,0.001185223458769658,0.0004841746059461127,0.001493452582434528,0.0011096916217504037,0.0007854828412976316,0.0009741870766137581,0.00021320212239909857,1.5707963267948966,-2.718192208790703,-1.5707963267948966,2.7198223923681075,0.22492152839618834,-0.539808831834943,-1.5707963267948966,-0.426100913774627,3.056869190046399,0.4106760390053394,2.632049532342934,1.8127274299044627,1.5707963267948966,-0.4823617498279468,-1.87638673219893,-1.541488314814547,2.9919958903746364,2.394770050006653,-0.9161377432087723,0.6114569567875117,1.5707963267948966,2.5882163899285975,0.2967181233240672,1.42916508575873,0.37419459374626424,-2.8952302867758406,-0.6426125957476969,2.730248855612314,-3.096422387938701,2.50495307723406
7,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-25_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere2_2-Image Export-25_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1600.7283273454088,1059.4692374269152,1,1,0.020328043,0.08380899,0.14653476,0.19204389,0.23807216,0.31921217,0.9889745958783994,1.2319625953254025,1.2033045287184356,1.0554130146843452,0.9486017439278974,0.894886204949794,0.26909174553143816,0.08203636276612046,0.09268648905963417,0.07744451321504447,0.06981410359543548,0.11714656917480369,0.07458146845697305,0.002092824931350122,0.016470822802364046,0.0035619654512626113,0.0005108250399758713,0.0010178485333904193,0.004874247600437593,0.0012162052412449437,0.0006868884503732001,0.0009714055289047834,0.000720947775449948,0.00045884138989541254,0.0016252748071124649,0.0005946687157957888,0.00048231283945283573,0.0004115626312140712,0.00037311042058108283,0.0008802645117008269,0.00017452618678220113,0.0004364719980474928,0.00013588625025199756,0.001792381600619741,0.0002394383943835357,0.0007798346329552343,0.00018281725873449576,0.0005694286228107822,0.0001923104730803123,0.00015950631378839952,0.00035457700568363153,0.0004621632314712485,1.5707963267948966,-3.0907135101155148,-1.5707963267948966,2.0144421246251745,0.34088010935938784,1.6728785277347173,-1.5707963267948966,2.8893709143959097,-2.4459244763979764,-0.45472182816306106,2.5706921861317453,2.637029789171729,-1.5707963267948966,0.4020127698560716,1.768111854192404,0.3845241395588122,1.0729964566681687,-0.8675656189015554,1.3468710621126232,0.4821807175177216,-1.5707963267948966,-1.1457847265643635,1.8580803771999876,-2.5837805722334006,-0.852569474400971,1.4151026811952803,-1.1742462291527525,0.0010488670274672064,3.0858649432066905,1.6503522255798695
8,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-24_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3_1-Image Export-24_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1587.8927798941006,1029.6769099718556,1,1,0.021496985,0.069486715,0.12594381,0.18271561,0.26993096,0.3304259,1.1465188942550546,1.0612928042323067,1.037544910558038,1.006110333056602,1.0714511801654831,0.915677473651976,0.07304666157744169,0.05929117336863654,0.05421032293394258,0.06986666910828851,0.13830337578942384,0.09281602971905825,0.09352342825526813,0.007484170155118634,0.026778879137961127,0.008108853857742964,0.0018012670129230668,0.0012335732753546212,0.007481539445203469,0.002705499850702559,0.0011155525016403832,0.0031435640789993276,0.0011447166024070898,0.0007362177142360779,0.0008765320007984083,0.0029082622923130917,0.0014918862374040396,0.001166167941582642,0.0004006454501429969,0.0021070048087953068,0.0013549080187711502,0.0006436455253613988,0.002697445166950206,0.0008685274335186163,0.0016283264910845175,0.0007506297718784459,0.000900155875822373,0.0015164472325501584,0.0008008216581018746,0.00022943124446496148,0.000554074527040105,0.0005266254600232673,1.5707963267948966,0.7920685815965268,-1.5707963267948966,2.7570990957616557,-2.2778363674276823,1.9284443930049018,-1.5707963267948966,-0.3632040693462269,-0.8065146932115957,-2.5390935853469867,1.8303095256223898,-0.5769658383359142,1.5707963267948966,-0.6712568989423552,-2.5504576102523884,0.08255675956671257,1.4180275378495113,-1.1663075140466421,2.4721783410233633,1.1462931058441488,1.5707963267948966,1.151969375954923,1.510443278363681,2.787845500847563,1.4443194447661256,0.1446647157826332,-1.7365185240440264,2.694837855018938,-1.9535668268146567,2.1047574381941265
9,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-23_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere3_2-Image Export-23_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1493.2511031004879,1076.801503457198,1,1,0.03100465,0.09362875,0.14614904,0.19514275,0.22065309,0.31342173,1.414683797346587,1.3258972661297423,1.169640387497299,1.0526104203342277,0.8729081903082894,0.9101899771531522,0.053258970243719075,0.04491978828492913,0.04571308370649021,0.06687706305926665,0.038592849876334885,0.05695782478451252,0.07010227214797808,0.0016368355261503146,0.012670531106233023,0.0008070627717247383,0.0006089755496797154,0.0024799484200694216,0.002252237027700989,0.0002821055430256106,0.0009669515594505257,0.0003676397447286914,0.0007435325377985062,0.00043029960252602883,0.00357825195826355,0.00024113683015565478,0.0005315549541268063,7.84013044931668e-05,0.0005612018336931904,0.0006201995406104343,0.00026804880225198767,0.0009589693724807529,0.0012397273007131579,0.0003944646092328428,0.0005166662251224075,0.00030421375828193617,0.00038205786898340535,0.00034449164427459,0.0008119125822245594,0.0004399357827770858,0.00024808444303139475,0.0003428060908783712,1.5707963267948966,-2.8914472740565884,-1.5707963267948966,2.351016131132029,2.276941301335322,1.941543735759688,-1.5707963267948966,1.6676243175592351,-1.1921481629165314,-1.8454373861303817,2.558096039548645,2.8515163284524387,-1.5707963267948966,0.05247672825629065,-0.5549228457110157,2.925761706324768,0.035817384046414096,-1.5197245345595214,-2.4255826863746357,0.8644037528862285,-1.5707963267948966,-0.29231216465935933,1.914199432552646,-0.53974923720869,-1.8873152230811225,-0.15894721008941712,-1.4552932273145824,0.9910545064110347,-0.4846259592811067,0.18335005325344322
10,1,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-22_c4.jpg,DMSO_EF5Day13-1_ER_1000ms_CA9_1600ms_Gamma_1_Sphere4_1-Image Export-22_c1.jpg,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,C:\Overflow\EF5 Consistent staining\Altered ER and CA9 White_Black,1596.3511847056345,1079.2461236552506,1,1,0.026864411,0.08849434,0.1501384,0.19637422,0.23853983,0.2995888,1.3114555043267253,1.2732969607767946,1.200366608313416,1.0553329584704778,0.9430936955718744,0.8660463163158982,0.049324564914923166,0.01997313420572936,0.03402524638006545,0.0699838865334696,0.0668194551994223,0.10050854762871694,0.1195653773354539,0.006352984455878004,0.03360974462739004,0.010297439848137946,0.0011490037784651962,0.0005181930921678919,0.0055947957600655795,0.0021209118035460466,0.002563644257469226,0.001874072565176642,0.00186842870068675,0.001181270900451156,0.0015784225218054956,0.0025162487472185154,0.00125927061706324,0.0012064047458990696,0.0018188223060497497,0.0012333901462784995,0.0007672024106908556,0.0004312884633480155,0.0013339954369357393,0.002054879211454338,0.0013952614402150403,0.0009365142384809037,0.0004959508103479732,0.0010943968915091624,0.0010443112306046057,0.000772183860228207,0.00028769678208754543,0.0004073888596383338,1.5707963267948966,0.4786631068272384,-1.5707963267948966,2.9088636736308238,-3.132306746451248,-2.4737804180645218,-1.5707963267948966,-0.47378282289780627,-1.402735698247161,-2.798034988738495,1.725097829327047,-0.7752788766951547,-1.5707963267948966,-0.23953197795625897,-3.0068566068614055,-1.0356728495467895,-2.511056981375636,-1.4998130917081554,2.8825487340818015,1.2391670156865502,1.5707963267948966,-0.1715386704381755,1.387284428853955,1.1949497638861515,-0.14101554601124203,0.13801634446785252,-1.32356226761546,2.554580705875838,-1.3643252628453442,-2.623640303791145
