"chr_chia_anchor1","start_chia_anchor1","end_chia_anchor1","name","Chr_CC_anchor1","Start_CC_anchor1","End_CC_anchor1","Replicate","chr_chia_anchor2","start_chia_anchor2","end_chia_anchor2","Chr_CC_anchor2","Start_CC_anchor2","End_CC_anchor2"
"chr10",103125719,103242091,"chr10:104885476..104886147-chr10:105000928..105001848,3","chr10",103124727,103126185,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",103125719,103242091,"chr10",103167805,103169172
"chr10",115431781,115665308,"chr10:117191291..117192435-chr10:117423930..117424818,4","chr10",115664074,115665167,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",115431781,115665308,"chr10",115664074,115665167
"chr10",115432128,115665410,"chr10:117191638..117192763-chr10:117423900..117424920,6","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115432128,115665410,"chr10",115664074,115665167
"chr10",115432128,115665410,"chr10:117191638..117193198-chr10:117423900..117424920,8","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115432128,115665410,"chr10",115664074,115665167
"chr10",115653220,115665329,"chr10:117412730..117413781-chr10:117423900..117424839,7","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115653220,115665329,"chr10",115664074,115665167
"chr10",115653220,115665329,"chr10:117412730..117413781-chr10:117423900..117424839,9","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115653220,115665329,"chr10",115664074,115665167
"chr10",115653364,115665322,"chr10:117412874..117413803-chr10:117423940..117424832,5","chr10",115664074,115665167,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",115653364,115665322,"chr10",115664074,115665167
"chr10",115664360,116144062,"chr10:117423870..117424874-chr10:117902617..117903573,9","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664360,116144062,"chr10",116142460,116143591
"chr10",115664375,115708315,"chr10:117423885..117424482-chr10:117467306..117467825,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664375,115708315,"chr10",115664074,115665167
"chr10",115664379,115998871,"chr10:117423889..117424875-chr10:117757387..117758382,5","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664379,115998871,"chr10",115664074,115665167
"chr10",115664384,116143972,"chr10:117423894..117424788-chr10:117902727..117903483,6","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664384,116143972,"chr10",116142460,116143591
"chr10",115664397,115880554,"chr10:117423907..117424465-chr10:117639294..117640065,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664397,115880554,"chr10",115664074,115665167
"chr10",115664407,115709177,"chr10:117423917..117424881-chr10:117467818..117468687,3","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664407,115709177,"chr10",115664074,115665167
"chr10",115664413,115920752,"chr10:117423923..117424776-chr10:117679621..117680263,4","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664413,115920752,"chr10",115664074,115665167
"chr10",115664413,115920752,"chr10:117423923..117424844-chr10:117679344..117680263,5","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664413,115920752,"chr10",115664074,115665167
"chr10",115664433,116081215,"chr10:117423943..117424823-chr10:117839818..117840726,5","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664433,116081215,"chr10",115664074,115665167
"chr10",115664435,115706674,"chr10:117423945..117424825-chr10:117465337..117466184,3","chr10",115664074,115665167,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",115664435,115706674,"chr10",115664074,115665167
"chr10",115664441,116143846,"chr10:117423951..117424749-chr10:117902548..117903357,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",115664441,116143846,"chr10",116142460,116143591
"chr10",115664443,115998871,"chr10:117423953..117424875-chr10:117757387..117758382,3","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664443,115998871,"chr10",115664074,115665167
"chr10",115664455,115705763,"chr10:117423965..117424797-chr10:117464767..117465273,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664455,115705763,"chr10",115664074,115665167
"chr10",115664457,115709149,"chr10:117423967..117424843-chr10:117468066..117468659,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664457,115709149,"chr10",115664074,115665167
"chr10",115664508,115665300,"chr10:117424018..117424810-chr8:129153870..129154532,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664508,115665300,"chr10",115664074,115665167
"chr10",115664512,115710789,"chr10:117424022..117424879-chr10:117469437..117470299,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664512,115710789,"chr10",115664074,115665167
"chr10",115664537,116081215,"chr10:117424047..117424823-chr10:117839860..117840726,4","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664537,116081215,"chr10",115664074,115665167
"chr10",115664539,115710546,"chr10:117424049..117424879-chr10:117469437..117470056,3","chr10",115664074,115665167,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",115664539,115710546,"chr10",115664074,115665167
"chr10",115664856,115665359,"chr10:117424366..117424869-chr13:58538442..58538962,2","chr10",115664074,115665167,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",115664856,115665359,"chr10",115664074,115665167
"chr10",116143123,116271720,"chr10:117902634..117903478-chr10:118030267..118031232,2","chr10",116142460,116143591,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",116143123,116271720,"chr10",116142460,116143591
"chr10",116143225,116271602,"chr10:117902736..117903478-chr10:118030267..118031114,2","chr10",116142460,116143591,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",116143225,116271602,"chr10",116142460,116143591
"chr10",17387641,17446199,"chr10:17429640..17430261-chr10:17487316..17488198,2","chr10",17445202,17446634,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",17387641,17446199,"chr10",17445202,17446634
"chr10",17445472,17466333,"chr10:17487471..17488014-chr10:17507489..17508332,3","chr10",17445202,17446634,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",17445472,17466333,"chr10",17445202,17446634
"chr10",28495669,29812806,"chr10:28784598..28785226-chr10:30101182..30101735,2","chr10",29163208,29164759,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",28495669,29812806,"chr10",29163208,29164759
"chr10",28495796,29630906,"chr10:28784725..28785509-chr10:29919057..29919835,2","chr10",29163208,29164759,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",28495796,29630906,"chr10",29163208,29164759
"chr10",29124745,29304065,"chr10:29413674..29414532-chr10:29592205..29592994,2","chr10",29163208,29164759,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",29124745,29304065,"chr10",29163208,29164759
"chr10",29124745,29304065,"chr10:29413674..29414532-chr10:29592205..29592994,3","chr10",29163208,29164759,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",29124745,29304065,"chr10",29163208,29164759
"chr10",29149742,29164375,"chr10:29438671..29439506-chr10:29452536..29453304,2","chr10",29163208,29164759,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",29149742,29164375,"chr10",29163208,29164759
"chr10",29501783,30682599,"chr10:29790712..29791345-chr10:30970893..30971528,2","chr10",30681852,30683040,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",29501783,30682599,"chr10",30681852,30683040
"chr10",3289779,3396264,"chr10:3331971..3332527-chr10:3437941..3438456,2","chr10",3330694,3331276,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",3289779,3396264,"chr10",3330694,3331276
"chr10",338717,361773,"chr10:384657..385391-chr10:407116..407713,2","chr10",338280,339636,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",338717,361773,"chr10",338280,339636
"chr10",43698196,44174159,"chr10:44193644..44194206-chr10:44668785..44669607,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",43698196,44174159,"chr10",44172768,44174190
