Chr,Start,End,Center,Experiment Insertions,Background insertions,Reference Insertions,pvalue Reference,pvalue Background,Fraction Experiment,TPH Experiment,Fraction background,TPH background,TPH background subtracted,pvalue_adj Reference,Nearest Refseq1,Gene Name1,Direction1,Distance1,Nearest Refseq2,Gene Name2,Direction2,Distance2
chr1,8712085,8713309,8712688.0,24,13,18,1.693575601979802e-08,0.006435746149383248,2.3521041041276488e-05,2352.1041041276485,9.676946313046236e-06,967.6946313046236,1384.4094728230248,7.26442905037659e-05,NM_012102,RERE,-,0,NM_001201483,ENO1,-,147691
chr1,23366735,23367147,23366944.0,20,4,2,1.1100135310915249e-07,3.532335231204442e-05,1.960086753439707e-05,1960.0867534397073,2.977521942475765e-06,297.7521942475765,1662.3345591921309,0.0003938032167702021,NM_001077195,ZNF436,-,0,NR_033690,ZNF436-AS1,+,1824
chr1,23555928,23556933,23556675.0,22,6,4,1.968417107089948e-08,7.69282035175678e-05,2.156095428783678e-05,2156.095428783678,4.466282913713647e-06,446.62829137136475,1709.4671374123131,8.310543513220639e-05,NM_002167,ID3,-,997,NM_004091,E2F2,-,-24709
chr1,23956877,23957747,23957248.0,24,7,5,2.7074376074409656e-09,4.620551629852532e-05,2.3521041041276488e-05,2352.1041041276485,5.210663399332588e-06,521.0663399332589,1831.0377641943896,1.436834016017973e-05,NM_017761,PNRC2,+,2064,NM_001300937,SRSF10,-,6600
chr1,30345386,30346946,30345953.0,35,20,11,9.992007221626409e-16,9.434888393711205e-05,3.4301518185194876e-05,3430.1518185194877,1.4887609712378825e-05,1488.7609712378824,1941.3908472816054,1.9747038360324207e-11,NR_110790,LINC01648,-,-307775,NM_002379,MATN1,-,364331
chr1,40897720,40898822,40898408.0,44,13,7,0.0,6.149812137312693e-08,4.312190857567356e-05,4312.190857567356,9.676946313046236e-06,967.6946313046236,3344.4962262627323,0.0,NM_133467,CITED4,-,-35375,NM_172163,KCNQ4,+,-57269
chr1,43830215,43831347,43831016.0,40,11,10,0.0,1.6928214015998755e-05,3.920173506879414e-05,3920.1735068794146,8.188185341808353e-06,818.8185341808353,3101.3549726985793,0.0,NM_001270461,ST3GAL3,+,0,NR_106727,MIR6079,+,7275
chr1,46134772,46135683,46135347.0,27,11,7,4.6849191193132356e-11,0.0002016780015724473,2.6461171171436047e-05,2646.117117143605,8.188185341808353e-06,818.8185341808353,1827.2985829627696,3.792196659393632e-07,NM_001328648,PIK3R3,-,0,NM_001114172,PIK3R3,-,-1737
chr1,75377061,75377529,75377296.0,31,15,5,6.050715484207103e-14,0.00013702775949142598,3.0381344678315463e-05,3038.1344678315463,1.1165707284284118e-05,1116.5707284284117,1921.5637394031346,8.62452385810915e-10,NM_001130058,SLC44A5,-,0,NM_001001933,LHX8,+,-215529
chr1,75382012,75382934,75382701.0,32,20,11,2.1871393585115584e-14,0.0018494231741654765,3.136138805503532e-05,3136.138805503532,1.4887609712378825e-05,1488.7609712378824,1647.3778342656494,3.3391108414342843e-10,NM_001130058,SLC44A5,-,0,NM_001001933,LHX8,+,-220480
chr1,89066958,89067853,89067615.0,21,5,6,3.784658708649857e-08,1.9656440415460885e-05,2.0580910911116924e-05,2058.0910911116925,3.721902428094706e-06,372.1902428094706,1685.900848302222,0.00015051456856592034,NM_002053,GBP1,-,-1599,NM_004120,GBP2,-,38280
chr1,93277304,93277737,93277534.0,21,9,4,4.28858236700691e-08,0.002625744239399652,2.0580910911116924e-05,2058.0910911116925,6.699424370570471e-06,669.9424370570471,1388.1486540546455,0.00016827028622775608,NM_206886,CCDC18,+,0,NR_034089,CCDC18-AS1,-,32372
chr1,96163878,96165173,96164537.0,24,11,10,2.9526413536373752e-09,1.1054716772651574e-05,2.3521041041276488e-05,2352.1041041276485,8.188185341808353e-06,818.8185341808353,1533.2855699468132,1.5567050087412325e-05,NR_110693,LINC01787,-,88896,NR_125991,LOC102723661,+,-140999
chr1,107936037,107937110,107936582.0,30,14,7,2.4902524486947186e-11,7.996967106294051e-07,2.940130130159561e-05,2940.130130159561,1.0421326798665176e-05,1042.1326798665177,1897.9974502930431,2.1110407377850373e-07,NM_006113,VAV3,-,0,NR_046653,VAV3-AS1,+,27333
chr1,108198189,108199629,108199410.0,43,32,8,0.0,4.705176846919734e-06,4.214186519895371e-05,4214.186519895371,2.382017553980612e-05,2382.017553980612,1832.1689659147592,0.0,NM_013386,SLC25A24,-,0,NM_213651,SLC25A24,-,-5381
chr1,108215809,108217313,108217004.0,71,60,14,0.0,5.8135605218723185e-08,6.95830797471096e-05,6958.3079747109605,4.466282913713647e-05,4466.282913713647,2492.0250609973136,0.0,NM_001143989,NBPF4,-,6028,NM_013386,SLC25A24,-,-15452
chr1,108234545,108235746,108234986.0,33,20,11,5.650147016922347e-12,6.445888444228665e-06,3.234143143175517e-05,3234.143143175517,1.4887609712378825e-05,1488.7609712378824,1745.3821719376344,5.4988084265216514e-08,NM_001143989,NBPF4,-,0,NM_013386,SLC25A24,-,-34188
chr1,108381470,108382920,108382305.0,25,19,4,1.7136967400688263e-09,0.001185183846931226,2.450108441799634e-05,2450.108441799634,1.4143229226759883e-05,1414.3229226759884,1035.7855191236456,9.550870733644971e-06,NM_001143987,NBPF6,+,67362,NM_001143989,NBPF4,-,-137390
chr1,108458159,108459557,108459259.0,52,23,11,0.0,1.8101076193488552e-12,5.096225558943239e-05,5096.225558943239,1.7120751169235648e-05,1712.0751169235648,3384.1504420196743,0.0,NM_001143987,NBPF6,+,0,NM_001010883,FAM102B,+,100792
chr1,108815817,108816529,108816295.0,27,18,9,1.181083675305672e-09,0.0007467220680938969,2.6461171171436047e-05,2646.117117143605,1.3398848741140941e-05,1339.8848741140941,1306.2322430295108,6.89252617531979e-06,NM_152763,AKNAD1,-,0,NM_007269,STXBP3,+,-6292
chr1,109137941,109138373,109138141.0,22,9,2,1.4681203031052803e-08,0.00033869468108893575,2.156095428783678e-05,2156.095428783678,6.699424370570471e-06,669.9424370570471,1486.152991726631,6.356609668609906e-05,NM_001267048,KIAA1324,+,0,NM_001122961,C1orf194,-,-24085
chr1,109151021,109152543,109151740.0,38,27,6,0.0,0.0016720670167379437,3.7241648315354436e-05,3724.1648315354437,2.009827311171141e-05,2009.8273111711412,1714.3375203643025,0.0,NM_001267048,KIAA1324,+,0,NM_001284353,KIAA1324,+,34006
chr1,109214503,109215453,109214816.0,26,7,6,4.5170422957596656e-10,3.0047583043923964e-06,2.5481127794716194e-05,2548.1127794716194,5.210663399332588e-06,521.0663399332589,2027.0464395383606,2.8870908855371097e-06,NR_034072,SARS,+,0,NM_001267048,KIAA1324,+,-7723
chr1,113388197,113389299,113388591.0,32,10,5,9.248157795127554e-14,2.485813459518482e-07,3.136138805503532e-05,3136.138805503532,7.443804856189412e-06,744.3804856189412,2391.7583198845905,1.2952817012205125e-09,NM_001142782,MAGI3,+,1554,NR_038846,LOC643441,-,-181945
chr1,113809486,113810436,113809963.0,26,13,14,1.3508828167196896e-08,0.0006204096816595506,2.5481127794716194e-05,2548.1127794716194,9.676946313046236e-06,967.6946313046236,1580.4181481669957,5.944884637400872e-05,NM_018364,RSBN1,-,0,NR_125965,AP4B1-AS1,+,2176
chr1,113975997,113977141,113976809.0,42,13,6,0.0,8.417700980700715e-10,4.116182182223385e-05,4116.182182223385,9.676946313046236e-06,967.6946313046236,3148.4875509187614,0.0,NM_198268,HIPK1,+,0,NM_001286352,OLFML3,+,2250
chr1,114479237,114480491,114480258.0,27,17,9,6.527479667894909e-10,0.00209083579412761,2.6461171171436047e-05,2646.117117143605,1.2654468255522001e-05,1265.4468255522002,1380.6702915914047,4.067165262734221e-06,NM_015906,TRIM33,-,0,NM_005872,BCAS2,-,87069
chr1,115714156,115714906,115714492.0,28,13,3,1.066113863856799e-11,0.000981756918432386,2.74412145481559e-05,2744.12145481559,9.676946313046236e-06,967.6946313046236,1776.4268235109662,9.70146148707398e-08,NM_001232,CASQ2,-,0,NM_001172411,VANGL1,+,-15933
chr1,115929672,115930325,115929945.0,24,9,10,3.97411600294717e-08,0.00039656509437979715,2.3521041041276488e-05,2352.1041041276485,6.699424370570471e-06,669.9424370570471,1682.1616670706014,0.00015669506478783164,NR_125970,LOC101928977,-,0,NR_125969,LINC01649,+,-3765
chr1,115952250,115953246,115952759.0,32,16,9,1.7454926393156711e-12,0.0008031670407022684,3.136138805503532e-05,3136.138805503532,1.191008776990306e-05,1191.008776990306,1945.1300285132259,1.9256262841501446e-08,NR_125970,LOC101928977,-,0,NM_018420,SLC22A15,+,23252
chr1,116219262,116220480,116220003.0,26,2,11,1.8611854613048706e-08,5.234991085067975e-08,2.5481127794716194e-05,2548.1127794716194,1.4887609712378825e-06,148.87609712378824,2399.236682347831,7.900233003988983e-05,NM_152367,MAB21L3,+,-84023,NM_018420,SLC22A15,+,-149209
chr1,116508486,116510494,116509264.0,76,3,20,0.0,0.0,7.448329663070887e-05,7448.329663070887,2.2331414568568237e-06,223.31414568568238,7225.015517385205,0.0,NM_001779,CD58,-,4040,NM_001144822,CD58,-,8206
chr1,116619071,116620153,116619490.0,43,25,12,0.0,0.004261459480845109,4.214186519895371e-05,4214.186519895371,1.860951214047353e-05,1860.951214047353,2353.235305848018,0.0,NM_001542,IGSF3,-,0,NM_001779,CD58,-,-47979
chr1,117363132,117363684,117363454.0,23,5,4,1.1570576385899756e-08,4.364377389265428e-06,2.2540997664556634e-05,2254.0997664556635,3.721902428094706e-06,372.1902428094706,1881.9095236461928,5.227599393563407e-05,NM_006699,MAN1A2,+,3779,NR_126408,LINC01525,+,-41797
chr1,117590826,117591613,117591312.0,31,17,5,3.297362383136715e-13,0.00019481884024963314,3.0381344678315463e-05,3038.1344678315463,1.2654468255522001e-05,1265.4468255522002,1772.6876422793462,4.149192161725934e-09,NR_121626,LOC100996263,-,5219,NM_017709,FAM46C,+,14369
chr1,120041361,120042891,120042375.0,40,28,16,2.3647750424515834e-14,0.0004344207900554009,3.920173506879414e-05,3920.1735068794146,2.0842653597330353e-05,2084.2653597330354,1835.9081471463792,3.5932779079250325e-10,NM_024408,NOTCH2,-,0,NM_004892,SEC22B,-,113051
chr1,120282149,120283521,120283228.0,29,14,15,4.824443955442348e-08,5.7668179556991106e-05,2.8421257924875754e-05,2842.1257924875754,1.0421326798665176e-05,1042.1326798665177,1799.9931126210577,0.00018612196335703667,NM_004892,SEC22B,-,-105629,NR_102404,NBPF8,+,131506
chr1,120614193,120615472,120615131.0,29,11,6,1.9613799473461313e-10,3.3525588382099514e-06,2.8421257924875754e-05,2842.1257924875754,8.188185341808353e-06,818.8185341808353,2023.30725830674,1.365393807651228e-06,NR_144516,LOC100996724,-,0,NR_102404,NBPF8,+,-144524
chr1,120733478,120734847,120734273.0,29,21,14,4.8924176820897e-08,0.002139344888931971,2.8421257924875754e-05,2842.1257924875754,1.5631990197997764e-05,1563.1990197997766,1278.9267726877988,0.00018851854737868658,NR_144516,LOC100996724,-,-68043,NM_001351372,NBPF26,+,70709
chr1,120750274,120751603,120751082.0,33,22,11,6.95266066941258e-11,0.00033622806563826657,3.234143143175517e-05,3234.143143175517,1.6376370683616706e-05,1637.6370683616706,1596.5060748138462,5.40987870196301e-07,NM_001351372,NBPF26,+,53953,NR_144516,LOC100996724,-,-84839
chr1,121100019,121100866,121100565.0,27,15,8,1.8259410650145469e-09,0.0003166715196017966,2.6461171171436047e-05,2646.117117143605,1.1165707284284118e-05,1116.5707284284117,1529.5463887151932,1.0102082925954571e-05,NM_001004340,FCGR1B,+,-2859,NM_001244910,FCGR1B,+,-4378
chr1,143887455,143888302,143887785.0,34,9,6,4.9960036108132044e-15,3.1481794948717834e-09,3.332147480847502e-05,3332.1474808475023,6.699424370570471e-06,669.9424370570471,2662.2050437904554,8.560551204076718e-11,NR_027484,FCGR1CP,+,-3723,NM_001287385,FAM72C,-,67062
chr1,144403953,144405339,144404241.0,28,26,17,3.2733958876818292e-09,0.009215013758981372,2.74412145481559e-05,2744.12145481559,1.9353892626092473e-05,1935.3892626092472,808.7321922063427,1.711289055642675e-05,NR_104076,RNVU1-15,+,7237,NM_173638,NBPF15,-,16047
chr1,145739124,145740533,145740330.0,32,17,8,1.0201728350978101e-11,0.00016185991414985335,3.136138805503532e-05,3136.138805503532,1.2654468255522001e-05,1265.4468255522002,1870.6919799513316,9.33615227545355e-08,NM_007053,CD160,+,0,NM_014455,RNF115,-,5549
chr1,146178152,146179090,146178830.0,24,5,8,1.0992251253671981e-07,1.3965744638522182e-06,2.3521041041276488e-05,2352.1041041276485,3.721902428094706e-06,372.1902428094706,1979.9138613181779,0.0003908366516336226,NM_203458,NOTCH2NL,-,0,NM_001039703,NBPF10,-,-33349
chr1,146191087,146192518,146191783.0,34,22,9,1.5398793351550921e-12,0.0009651837362111282,3.332147480847502e-05,3332.1474808475023,1.6376370683616706e-05,1637.6370683616706,1694.5104124858317,1.7046316073083075e-08,NM_203458,NOTCH2NL,-,0,NM_001039703,NBPF10,-,-46284
chr1,146200556,146202099,146201737.0,48,36,17,0.0,0.0007889937413245729,4.7042082082552975e-05,4704.208208255297,2.6797697482281882e-05,2679.7697482281883,2024.4384600271087,0.0,NM_203458,NOTCH2NL,-,0,NM_001039703,NBPF10,-,-55753
chr1,147538414,147539450,147538984.0,31,5,10,2.570943458124475e-12,2.075401517309672e-09,3.0381344678315463e-05,3038.1344678315463,3.721902428094706e-06,372.1902428094706,2665.944225022076,2.779157094389803e-08,NM_004326,BCL9,+,2051,NR_038423,LINC00624,-,-20540
chr1,147668899,147669785,147669492.0,30,11,7,4.213740467662319e-12,1.2995100342916288e-05,2.940130130159561e-05,2940.130130159561,8.188185341808353e-06,818.8185341808353,2121.3115959787256,4.268521743893167e-08,NM_016361,ACP6,-,0,NM_004326,BCL9,+,-42681
chr1,147675817,147677336,147676757.0,64,30,14,0.0,5.897142996147409e-09,6.272277611007063e-05,6272.277611007064,2.2331414568568236e-05,2233.1414568568234,4039.13615415024,0.0,NM_001323625,ACP6,-,-5275,NM_016361,ACP6,-,-5306
chr1,147716124,147717210,147716719.0,45,33,8,0.0,0.0064073339755340575,4.4101951952393415e-05,4410.195195239341,2.456455602542506e-05,2456.455602542506,1953.7395926968352,0.0,NM_181703,GJA5,-,38989,NM_001323625,ACP6,-,-45582
chr1,148641457,148642863,148642499.0,28,13,7,1.4314132101844734e-09,7.042758650299685e-05,2.74412145481559e-05,2744.12145481559,9.676946313046236e-06,967.6946313046236,1776.4268235109662,8.204753546836427e-06,NM_015383,NBPF14,-,-45741,NR_104005,NUDT4P2,+,105693
chr1,148652105,148653135,148652623.0,44,23,11,0.0,1.3259597517745192e-06,4.312190857567356e-05,4312.190857567356,1.7120751169235648e-05,1712.0751169235648,2600.1157406437915,0.0,NM_015383,NBPF14,-,-56389,NR_104005,NUDT4P2,+,95421
chr1,148661683,148662855,148662384.0,31,25,15,1.1312366487992165e-08,0.00907317921394768,3.0381344678315463e-05,3038.1344678315463,1.860951214047353e-05,1860.951214047353,1177.1832537841933,5.125316636731597e-05,NM_015383,NBPF14,-,-65967,NR_104005,NUDT4P2,+,85701
chr1,148894428,148895406,148895113.0,28,19,8,7.916696742604756e-09,0.001653560564370049,2.74412145481559e-05,2744.12145481559,1.4143229226759883e-05,1414.3229226759884,1329.7985321396015,3.761414117730957e-05,NM_022359,PDE4DIP,+,0,NM_001002811,PDE4DIP,+,56718
chr1,149234194,149235473,149235132.0,26,8,6,1.2791102954601286e-08,2.650239313117808e-06,2.5481127794716194e-05,2548.1127794716194,5.95504388495153e-06,595.504388495153,1952.6083909764666,5.675553329749479e-05,NM_001037675,NBPF9,-,-151884,NM_001350521,PDE4DIP,+,-201176
chr1,149400609,149401860,149401285.0,29,24,10,2.714762925570824e-08,0.004719476647987553,2.8421257924875754e-05,2842.1257924875754,1.786513165485459e-05,1786.513165485459,1055.6126270021164,0.00011055853138033084,NM_001351365,NBPF19,+,74038,NM_001135789,PPIAL4C,+,181963
chr1,149417595,149418924,149418403.0,45,27,12,1.2212453270876722e-15,1.0774646035383029e-06,4.4101951952393415e-05,4410.195195239341,2.009827311171141e-05,2009.8273111711412,2400.3678840681996,2.3416957526495574e-11,NM_001351365,NBPF19,+,56974,NM_001135789,PPIAL4C,+,164899
chr1,149427795,149429226,149428527.0,32,20,9,4.1051317900553386e-10,0.00010055938121233954,3.136138805503532e-05,3136.138805503532,1.4887609712378825e-05,1488.7609712378824,1647.3778342656494,2.6661357763791217e-06,NM_001351365,NBPF19,+,46672,NM_001135789,PPIAL4C,+,154597
chr1,149441238,149441923,149441495.0,25,5,6,7.089375397839603e-08,1.5842282086175885e-07,2.450108441799634e-05,2450.108441799634,3.721902428094706e-06,372.1902428094706,2077.9181989901635,0.000260997745403742,NM_001351365,NBPF19,+,33975,NM_001135789,PPIAL4C,+,141900
chr1,149795397,149796244,149795943.0,34,18,6,4.425348976155874e-13,3.5751405048634055e-06,3.332147480847502e-05,3332.1474808475023,1.3398848741140941e-05,1339.8848741140941,1992.2626067334081,5.39983428846512e-09,NM_001161334,HIST2H2BF,-,0,NM_000566,FCGR1A,+,-2880
chr1,150020960,150022070,150021539.0,32,12,14,1.087726575477177e-09,1.5383383378253512e-07,3.136138805503532e-05,3136.138805503532,8.932565827427295e-06,893.2565827427295,2242.8822227608025,6.441064893567647e-06,NM_020205,OTUD7B,-,-10224,NM_001279353,VPS45,+,45223
chr1,151006952,151008342,151007152.0,25,7,6,2.2734386595502087e-09,1.0504727765314748e-05,2.450108441799634e-05,2450.108441799634,5.210663399332588e-06,521.0663399332589,1929.042101866375,1.226720843958591e-05,NM_001319998,MINDY1,-,0,NM_001040217,MINDY1,-,-44
chr1,151885549,151886045,151885749.0,24,3,9,2.3871589704960172e-08,9.033089052312704e-07,2.3521041041276488e-05,2352.1041041276485,2.2331414568568237e-06,223.31414568568238,2128.789958441966,9.821015903366004e-05,NM_053055,THEM4,-,0,NM_182578,THEM5,-,-31853
chr1,152728800,152729823,152729280.0,21,8,10,6.226850612911505e-08,0.0006669701011136064,2.0580910911116924e-05,2058.0910911116925,5.95504388495153e-06,595.504388495153,1462.5867026165397,0.00023324203961741367,NM_001024679,C1orf68,+,-8372,NM_178356,LCE4A,+,-19367
