"chr_chia_anchor1","start_chia_anchor1","end_chia_anchor1","name","Chr_CC_anchor1","Start_CC_anchor1","End_CC_anchor1","Replicate","chr_chia_anchor2","start_chia_anchor2","end_chia_anchor2","Chr_CC_anchor2","Start_CC_anchor2","End_CC_anchor2"
"chr10",103125719,103242091,"chr10:104885476..104886147-chr10:105000928..105001848,3","chr10",103168083,103169532,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",103125719,103242091,"chr10",103168083,103169532
"chr10",115431781,115665308,"chr10:117191291..117192435-chr10:117423930..117424818,4","chr10",115664074,115665482,"basic_Chia_ChiapetRep3_peak_data_ER_WT4.txt","chr10",115431781,115665308,"chr10",115664074,115665482
"chr10",115432128,115665410,"chr10:117191638..117192763-chr10:117423900..117424920,6","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115432128,115665410,"chr10",115664074,115665482
"chr10",115432128,115665410,"chr10:117191638..117193198-chr10:117423900..117424920,8","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115432128,115665410,"chr10",115664074,115665482
"chr10",115653220,115665329,"chr10:117412730..117413781-chr10:117423900..117424839,7","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115653220,115665329,"chr10",115664074,115665482
"chr10",115653220,115665329,"chr10:117412730..117413781-chr10:117423900..117424839,9","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115653220,115665329,"chr10",115664074,115665482
"chr10",115653364,115665322,"chr10:117412874..117413803-chr10:117423940..117424832,5","chr10",115664074,115665482,"basic_Chia_ChiapetRep3_peak_data_ER_WT4.txt","chr10",115653364,115665322,"chr10",115664074,115665482
"chr10",115664360,116144062,"chr10:117423870..117424874-chr10:117902617..117903573,9","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664360,116144062,"chr10",116142513,116143591
"chr10",115664375,115708315,"chr10:117423885..117424482-chr10:117467306..117467825,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664375,115708315,"chr10",115664074,115665482
"chr10",115664379,115998871,"chr10:117423889..117424875-chr10:117757387..117758382,5","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115664379,115998871,"chr10",115664074,115665482
"chr10",115664384,116143972,"chr10:117423894..117424788-chr10:117902727..117903483,6","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115664384,116143972,"chr10",116142513,116143591
"chr10",115664397,115880554,"chr10:117423907..117424465-chr10:117639294..117640065,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115664397,115880554,"chr10",115664074,115665482
"chr10",115664407,115709177,"chr10:117423917..117424881-chr10:117467818..117468687,3","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115664407,115709177,"chr10",115664074,115665482
"chr10",115664413,115920752,"chr10:117423923..117424776-chr10:117679621..117680263,4","chr10",115664074,115665482,"basic_Chia_ChiapetRep1_peak_data_ER_WT4.txt","chr10",115664413,115920752,"chr10",115664074,115665482
"chr10",115664413,115920752,"chr10:117423923..117424844-chr10:117679344..117680263,5","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664413,115920752,"chr10",115664074,115665482
"chr10",115664433,116081215,"chr10:117423943..117424823-chr10:117839818..117840726,5","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664433,116081215,"chr10",115664074,115665482
"chr10",115664435,115706674,"chr10:117423945..117424825-chr10:117465337..117466184,3","chr10",115664074,115665482,"basic_Chia_ChiapetRep3_peak_data_ER_WT4.txt","chr10",115664435,115706674,"chr10",115664074,115665482
"chr10",115664441,116143846,"chr10:117423951..117424749-chr10:117902548..117903357,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep3_peak_data_ER_WT4.txt","chr10",115664441,116143846,"chr10",116142513,116143591
"chr10",115664443,115998871,"chr10:117423953..117424875-chr10:117757387..117758382,3","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664443,115998871,"chr10",115664074,115665482
"chr10",115664455,115705763,"chr10:117423965..117424797-chr10:117464767..117465273,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664455,115705763,"chr10",115664074,115665482
"chr10",115664457,115709149,"chr10:117423967..117424843-chr10:117468066..117468659,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664457,115709149,"chr10",115664074,115665482
"chr10",115664508,115665300,"chr10:117424018..117424810-chr8:129153870..129154532,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664508,115665300,"chr10",115664074,115665482
"chr10",115664512,115710789,"chr10:117424022..117424879-chr10:117469437..117470299,2","chr10",115664074,115665482,"basic_Chia_ChiapetRep2_peak_data_ER_WT4.txt","chr10",115664512,115710789,"chr10",115664074,115665482
