"Chr","Start","End","Center","Experiment.Insertions","Background.insertions","Reference.Insertions","pvalue.Reference","pvalue.Background","Fraction.Experiment","TPH.Experiment","Fraction.background","TPH.background","TPH.background.subtracted","pvalue_adj.Reference","Nearest.Refseq1","Gene.Name1","Direction1","Distance1","Nearest.Refseq2","Gene.Name2","Direction2","Distance2"
"chr1",40897720,40898822,40898408,44,13,7,0,6.14981213731269e-08,4.31219085756736e-05,4312.19085756736,9.67694631304624e-06,967.694631304624,3344.49622626273,0,"NM_133467","CITED4","-",-35375,"NM_172163","KCNQ4","+",-57269
"chr1",43830215,43831347,43831016,40,11,10,0,1.69282140159988e-05,3.92017350687941e-05,3920.17350687941,8.18818534180835e-06,818.818534180835,3101.35497269858,0,"NM_001270461","ST3GAL3","+",0,"NR_106727","MIR6079","+",7275
"chr1",108198189,108199629,108199410,43,32,8,0,4.70517684691973e-06,4.21418651989537e-05,4214.18651989537,2.38201755398061e-05,2382.01755398061,1832.16896591476,0,"NM_013386","SLC25A24","-",0,"NM_213651","SLC25A24","-",-5381
"chr1",108215809,108217313,108217004,71,60,14,0,5.81356052187232e-08,6.95830797471096e-05,6958.30797471096,4.46628291371365e-05,4466.28291371365,2492.02506099731,0,"NM_001143989","NBPF4","-",6028,"NM_013386","SLC25A24","-",-15452
"chr1",108458159,108459557,108459259,52,23,11,0,1.81010761934886e-12,5.09622555894324e-05,5096.22555894324,1.71207511692356e-05,1712.07511692356,3384.15044201967,0,"NM_001143987","NBPF6","+",0,"NM_001010883","FAM102B","+",100792
"chr1",109151021,109152543,109151740,38,27,6,0,0.00167206701673794,3.72416483153544e-05,3724.16483153544,2.00982731117114e-05,2009.82731117114,1714.3375203643,0,"NM_001267048","KIAA1324","+",0,"NM_001284353","KIAA1324","+",34006
"chr1",113975997,113977141,113976809,42,13,6,0,8.41770098070072e-10,4.11618218222338e-05,4116.18218222339,9.67694631304624e-06,967.694631304624,3148.48755091876,0,"NM_198268","HIPK1","+",0,"NM_001286352","OLFML3","+",2250
"chr1",116508486,116510494,116509264,76,3,20,0,0,7.44832966307089e-05,7448.32966307089,2.23314145685682e-06,223.314145685682,7225.01551738521,0,"NM_001779","CD58","-",4040,"NM_001144822","CD58","-",8206
"chr1",116619071,116620153,116619490,43,25,12,0,0.00426145948084511,4.21418651989537e-05,4214.18651989537,1.86095121404735e-05,1860.95121404735,2353.23530584802,0,"NM_001542","IGSF3","-",0,"NM_001779","CD58","-",-47979
"chr1",146200556,146202099,146201737,48,36,17,0,0.000788993741324573,4.7042082082553e-05,4704.2082082553,2.67976974822819e-05,2679.76974822819,2024.43846002711,0,"NM_203458","NOTCH2NL","-",0,"NM_001039703","NBPF10","-",-55753
"chr1",147675817,147677336,147676757,64,30,14,0,5.89714299614741e-09,6.27227761100706e-05,6272.27761100706,2.23314145685682e-05,2233.14145685682,4039.13615415024,0,"NM_001323625","ACP6","-",-5275,"NM_016361","ACP6","-",-5306
"chr1",147716124,147717210,147716719,45,33,8,0,0.00640733397553406,4.41019519523934e-05,4410.19519523934,2.45645560254251e-05,2456.45560254251,1953.73959269684,0,"NM_181703","GJA5","-",38989,"NM_001323625","ACP6","-",-45582
"chr1",148652105,148653135,148652623,44,23,11,0,1.32595975177452e-06,4.31219085756736e-05,4312.19085756736,1.71207511692356e-05,1712.07511692356,2600.11574064379,0,"NM_015383","NBPF14","-",-56389,"NR_104005","NUDT4P2","+",95421
"chr1",162159334,162160429,162159745,40,30,6,0,0.00185459390518483,3.92017350687941e-05,3920.17350687941,2.23314145685682e-05,2233.14145685682,1687.03205002259,0,"NM_001164757","NOS1AP","+",0,"NR_039798","MIR4654","+",-2153
"chr1",172529432,172530880,172530092,40,18,13,0,4.40264975345439e-05,3.92017350687941e-05,3920.17350687941,1.33988487411409e-05,1339.88487411409,2580.28863276532,0,"NM_016227","SUCO","+",1469,"NM_001282750","SUCO","+",2238
"chr1",178655018,178656291,178655972,40,8,11,0,2.81212830799404e-11,3.92017350687941e-05,3920.17350687941,5.95504388495153e-06,595.504388495153,3324.66911838426,0,"NR_039622","MIR4424","+",21458,"NM_001286247","RALGPS2","+",68856
"chr1",188371328,188373521,188371915,43,20,30,0,2.91079571557162e-09,4.21418651989537e-05,4214.18651989537,1.48876097123788e-05,1488.76097123788,2725.42554865749,0,"NR_132374","LINC01037","+",-894107,"NR_126347","LINC01036","+",-1011085
"chr10",8365753,8367205,8366462,48,38,13,0,8.5790557959875e-06,4.7042082082553e-05,4704.2082082553,2.82864584535198e-05,2828.64584535198,1875.56236290332,0,"NR_108058","LINC00708","-",-97449,"NR_134492","LOC105376398","-",205542
"chr10",8725294,8728072,8727001,66,69,24,0,2.69952761255965e-08,6.46828628635103e-05,6468.28628635103,5.13622535077069e-05,5136.22535077069,1332.06093558034,0,"NR_134492","LOC105376398","-",-130904,"NR_131944","LOC105755953","+",169917
"chr10",9188222,9189489,9188749,57,77,9,0,7.07931835319808e-06,5.58624724730317e-05,5586.24724730317,5.73172973926585e-05,5731.72973926585,-145.482491962682,0,"NR_120635","LOC101928272","-",7877,"NR_108039","LINC00709","+",86124
