seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	40897721	40898989	1269	*	40898408	44	13	7	0	6.14981213731269e-08	4.31219085756736e-05	4312.19085756736	9.67694631304624e-06	967.694631304624	3344.49622626273	0	Distal Intergenic	1	40863914	40876670	12757	1	124904157	ENST00000414199.1	33807	NA
chr1	43830000	43831347	1348	*	43830954	46	11	11	0	3.09709529799918e-07	4.50819953291133e-05	4508.19953291133	8.18818534180835e-06	818.818534180835	3689.38099873049	0	Intron (ENST00000645057.1/9682, intron 18 of 25)	1	43838250	43931139	92890	1	6487	ENST00000644645.1	-6903	ST3GAL3
chr1	46134773	46135932	1160	*	46135347	36	15	9	2.22044604925031e-16	1.31911427988518e-05	3.52815615619147e-05	3528.15615619147	1.11657072842841e-05	1116.57072842841	2411.58542776306	5.18750512631309e-12	Promoter	1	46134531	46139081	4551	1	101929626	ENST00000452785.2	242	RP4-533D7.5
chr1	75376225	75377529	1305	*	75377296	33	17	7	3.77475828372553e-15	0.000163857053323446	3.23414314317552e-05	3234.14314317552	1.2654468255522e-05	1265.4468255522	1968.69631762332	7.302156897549e-11	Intron (ENST00000370859.8/204962, intron 3 of 23)	1	75204475	75611084	406610	2	204962	ENST00000370855.5	233555	SLC44A5
chr1	75382467	75382934	468	*	75382701	30	17	5	2.52242671194836e-13	0.00095185696011868	2.94013013015956e-05	2940.13013015956	1.2654468255522e-05	1265.4468255522	1674.68330460736	3.81139680126327e-09	Intron (ENST00000370859.8/204962, intron 3 of 23)	1	75204475	75611084	406610	2	204962	ENST00000370855.5	228150	SLC44A5
chr1	96163879	96165005	1127	*	96164430	24	10	8	2.17557305504101e-09	5.71276211613903e-06	2.35210410412765e-05	2352.10410412765	7.44380485618941e-06	744.380485618941	1607.72361850871	1.45860310944372e-05	Distal Intergenic	1	96010696	96022678	11983	1	102723661	ENST00000631091.1	153183	RP11-147C23.1
chr1	108198467	108199882	1416	*	108199426	55	41	10	0	1.34164513165835e-07	5.39023857195919e-05	5390.23857195919	3.05195999103766e-05	3051.95999103766	2338.27858092154	0	Promoter	1	108134820	108200279	65460	2	29957	ENST00000264128.13	397	SLC25A24
chr1	108216310	108217487	1178	*	108217058	68	53	12	0	1.03237840498593e-08	6.664294961695e-05	6664.294961695	3.94521657378039e-05	3945.21657378039	2719.07838791462	0	Distal Intergenic	1	108134043	108200343	66301	2	29957	ENST00000565488.6	-15967	SLC25A24
chr1	108234546	108235501	956	*	108234986	30	20	8	4.03022060169178e-11	6.01693346256038e-05	2.94013013015956e-05	2940.13013015956	1.48876097123788e-05	1488.76097123788	1451.36915892168	3.96124774542684e-07	Exon (ENST00000415641.8/148545, exon 9 of 15)	1	108222464	108244076	21613	2	148545	ENST00000415641.8	8575	NBPF4
chr1	108458160	108459797	1638	*	108459285	54	26	13	0	4.13102885232774e-12	5.29223423428721e-05	5292.23423428721	1.93538926260925e-05	1935.38926260925	3356.84497167796	0	Exon (ENST00000370040.7/653149, exon 10 of 16)	1	108450343	108471920	21578	1	653149	ENST00000495380.7	7817	NBPF6
chr1	108533170	108534271	1102	*	108533744	27	14	8	9.43089606408876e-10	1.39047139405823e-05	2.6461171171436e-05	2646.1171171436	1.04213267986652e-05	1042.13267986652	1603.98443727709	6.85233114650075e-06	Distal Intergenic	1	108560089	108644900	84812	1	284611	ENST00000405454.1	-25818	FAM102B
chr1	108815818	108816578	761	*	108816295	27	18	9	1.18108367530567e-09	0.000746722068093897	2.6461171171436e-05	2646.1171171436	1.33988487411409e-05	1339.88487411409	1306.23224302951	8.36151629318651e-06	Promoter	1	108815898	108817454	1557	2	254268	ENST00000466413.1	876	AKNAD1
chr1	109214504	109215019	516	*	109214789	25	7	4	7.58830664970844e-10	7.23807673352894e-06	2.45010844179963e-05	2450.10844179963	5.21066339933259e-06	521.066339933259	1929.04210186638	5.62111773545103e-06	Promoter	1	109213982	109238148	24167	1	6301	ENST00000369923.4	522	SARS
chr1	113388198	113389452	1255	*	113389096	41	21	7	0	5.18844280894548e-06	4.0181778445514e-05	4018.1778445514	1.56319901979978e-05	1563.19901979978	2454.97882475162	0	Distal Intergenic	1	113390515	113685923	295409	1	260425	ENST00000307546.14	-1063	MAGI3
chr1	113975583	113977020	1438	*	113976809	44	16	9	0	4.87828033524096e-09	4.31219085756736e-05	4312.19085756736	1.19100877699031e-05	1191.00877699031	3121.18208057705	0	3' UTR	1	113979391	113982254	2864	1	56944	ENST00000393300.6	-2371	OLFML3
chr1	115714157	115714906	750	*	115714492	28	13	3	1.0661138638568e-11	0.000981756918432386	2.74412145481559e-05	2744.12145481559	9.67694631304624e-06	967.694631304624	1776.42682351097	1.1904094139592e-07	Intron (ENST00000713711.1/845, intron 9 of 11)	1	115671144	115684076	12933	1	81839	ENST00000474344.1	43013	VANGL1
chr1	116508487	116510494	2008	*	116509264	76	3	20	0	0	7.44832966307089e-05	7448.32966307089	2.23314145685682e-06	223.314145685682	7225.01551738521	0	Distal Intergenic	1	116493350	116502634	9285	1	112268235	ENST00000660250.1	15137	NA
chr1	117590827	117591996	1170	*	117591312	43	25	8	0	1.74665766097259e-05	4.21418651989537e-05	4214.18651989537	1.86095121404735e-05	1860.95121404735	2353.23530584802	0	Distal Intergenic	1	117604624	117605685	1062	2	100996263	ENST00000456126.1	13689	NA
chr1	120614194	120615472	1279	*	120615131	29	11	6	1.96137994734613e-10	3.35255883820995e-06	2.84212579248758e-05	2842.12579248758	8.18818534180835e-06	818.818534180835	2023.30725830674	1.65103602214205e-06	Intron (ENST00000612480.2/100996724, intron 4 of 41)	1	120489860	120558143	68284	2	100996724	ENST00000715505.1	-56051	NA
chr1	120750570	120751603	1034	*	120751157	32	22	10	1.06244013586831e-10	0.000609644774999696	3.13613880550353e-05	3136.13880550353	1.63763706836167e-05	1637.63706836167	1498.50173714186	9.51845445595311e-07	Intron (ENST00000690847.1/101929796, intron 1 of 3)	1	120723949	120807662	83714	1	101060684	ENST00000652763.1	26621	NBPF9
chr1	121100020	121100866	847	*	121100565	27	15	8	1.82594106501455e-09	0.000316671519601797	2.6461171171436e-05	2646.1171171436	1.11657072842841e-05	1116.57072842841	1529.54638871519	1.25343145309287e-05	Intron (ENST00000426275.1/ENST00000426275.1, intron 1 of 1)	1	121090289	121097655	7367	2	100996318	ENST00000457996.1	-2365	NA
chr1	145739863	145740989	1127	*	145740330	39	18	8	8.88178419700125e-16	2.64982070152797e-06	3.82216916920743e-05	3822.16916920743	1.33988487411409e-05	1339.88487411409	2482.28429509334	1.91312245793107e-11	3' UTR	1	145728328	145738493	10166	1	11126	ENST00000584442.2	11535	CD160
chr1	145765000	145766455	1456	*	145765911	38	16	16	2.45015119304526e-12	1.38292716866939e-06	3.72416483153544e-05	3724.16483153544	1.19100877699031e-05	1191.00877699031	2533.15605454514	3.19373317215417e-08	Intron (ENST00000582693.5/27246, intron 4 of 8)	1	145746389	145773843	27455	2	27246	ENST00000539368.2	7388	RNF115
chr1	146177936	146179049	1114	*	146178692	28	8	11	7.9963323740273e-09	1.11918798184618e-06	2.74412145481559e-05	2744.12145481559	5.95504388495153e-06	595.504388495153	2148.61706632044	4.7900996029864e-05	Intron (ENST00000612520.2/100132406, intron 2 of 20)	1	146066318	146144804	78487	2	100132406	ENST00000617010.2	-33132	NBPF10
chr1	146191088	146192518	1431	*	146191783	34	22	9	1.53987933515509e-12	0.000965183736211128	3.3321474808475e-05	3332.1474808475	1.63763706836167e-05	1637.63706836167	1694.51041248583	2.08785502081588e-08	Intron (ENST00000612520.2/100132406, intron 1 of 20)	1	146164841	146228508	63668	2	388677	ENST00000685177.1	35990	NOTCH2NL
chr1	146201370	146202399	1030	*	146201887	40	27	11	2.66453525910038e-15	0.000515578715841958	3.92017350687941e-05	3920.17350687941	2.00982731117114e-05	2009.82731117114	1910.34619570827	5.28922091310354e-11	Intron (ENST00000612520.2/100132406, intron 1 of 20)	1	146164841	146228508	63668	2	388677	ENST00000685177.1	26109	NOTCH2NL
