seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	8712086	8713309	1224	*	8712688	24	13	18	1.6935756019798e-08	0.00643574614938325	2.35210410412765e-05	2352.10410412765	9.67694631304624e-06	967.694631304624	1384.40947282302	7.26442905037659e-05	Intron (ENST00000337907.7/473, intron 2 of 23)	1	8656193	8703219	47027	2	473	ENST00000468247.1	-8867	RERE
chr1	23366736	23367147	412	*	23366944	20	4	2	1.11001353109152e-07	3.53233523120444e-05	1.96008675343971e-05	1960.08675343971	2.97752194247576e-06	297.752194247576	1662.33455919213	0.000393803216770202	Exon (ENST00000314011.9/80818, exon 3 of 4)	1	23359975	23368386	8412	2	80818	ENST00000374608.3	1239	ZNF436
chr1	23555929	23556933	1005	*	23556675	22	6	4	1.96841710708995e-08	7.69282035175678e-05	2.15609542878368e-05	2156.09542878368	4.46628291371365e-06	446.628291371365	1709.46713741231	8.31054351322064e-05	Distal Intergenic	1	23557934	23559075	1142	2	3399	ENST00000463312.1	2142	ID3
chr1	23956878	23957747	870	*	23957248	24	7	5	2.70743760744097e-09	4.62055162985253e-05	2.35210410412765e-05	2352.10410412765	5.21066339933259e-06	521.066339933259	1831.03776419439	1.43683401601797e-05	Promoter	1	23956839	23963446	6608	1	55629	ENST00000647887.1	39	PNRC2
chr1	30345387	30346946	1560	*	30345953	35	20	11	9.99200722162641e-16	9.4348883937112e-05	3.43015181851949e-05	3430.15181851949	1.48876097123788e-05	1488.76097123788	1941.39084728161	1.97470383603242e-11	Distal Intergenic	1	30013952	30037612	23661	2	101929406	ENST00000445180.2	-307775	RP11-111I12.1
chr1	40897721	40898822	1102	*	40898408	44	13	7	0	6.14981213731269e-08	4.31219085756736e-05	4312.19085756736	9.67694631304624e-06	967.694631304624	3344.49622626273	0	Distal Intergenic	1	40863914	40876670	12757	1	124904157	ENST00000414199.1	33807	NA
chr1	43830216	43831347	1132	*	43831016	40	11	10	0	1.69282140159988e-05	3.92017350687941e-05	3920.17350687941	8.18818534180835e-06	818.818534180835	3101.35497269858	0	Intron (ENST00000645057.1/9682, intron 18 of 25)	1	43838250	43931139	92890	1	6487	ENST00000644645.1	-6903	ST3GAL3
chr1	46134773	46135683	911	*	46135347	27	11	7	4.68491911931324e-11	0.000201678001572447	2.6461171171436e-05	2646.1171171436	8.18818534180835e-06	818.818534180835	1827.29858296277	3.79219665939363e-07	Promoter	1	46134531	46139081	4551	1	101929626	ENST00000452785.2	242	RP4-533D7.5
chr1	75377062	75377529	468	*	75377296	31	15	5	6.0507154842071e-14	0.000137027759491426	3.03813446783155e-05	3038.13446783155	1.11657072842841e-05	1116.57072842841	1921.56373940313	8.62452385810915e-10	Intron (ENST00000370859.8/204962, intron 3 of 23)	1	75204475	75611084	406610	2	204962	ENST00000370855.5	233555	SLC44A5
chr1	75382013	75382934	922	*	75382701	32	20	11	2.18713935851156e-14	0.00184942317416548	3.13613880550353e-05	3136.13880550353	1.48876097123788e-05	1488.76097123788	1647.37783426565	3.33911084143428e-10	Intron (ENST00000370859.8/204962, intron 3 of 23)	1	75204475	75611084	406610	2	204962	ENST00000370855.5	228150	SLC44A5
